,router,easy,medium,hard
DPS of 0.5,3.9,4.0,3.9,3.9
DPS of 0.6,3.9,3.9,3.9,4.0
DPS of 0.7,3.9,3.9,3.9,4.0
DPS of 0.8,3.9,3.9,3.9,3.9
DPS of 0.9,3.9,4.0,4.0,4.0
DPS of 1,3.9,4.0,4.0,4.0
DPS of 1.1,4.0,4.0,3.9,4.0
DPS of 1.2,4.0,4.0,4.0,4.1
DPS of 1.3,3.9,3.9,4.1,4.0
DPS of 1.4,3.9,4.0,4.0,4.1
DPS of 1.5,3.9,3.9,4.0,3.9
