1. Equated Observed Scores for Each Path 
        path.1      path.2      path.3
0  -5.00000000 -5.00000000 -5.00000000
1  -5.00000000 -5.00000000 -5.00000000
2  -5.00000000 -4.56629333 -4.03677719
3  -4.37892322 -3.80250870 -3.26454753
4  -3.81089050 -3.23707612 -2.69089641
5  -3.35007925 -2.77915501 -2.22499191
6  -2.95592265 -2.38815642 -1.82621721
7  -2.60660309 -2.04235817 -1.47277284
8  -2.28905898 -1.72853491 -1.15150881
9  -1.99465755 -1.43812067 -0.85380795
10 -1.71746996 -1.16510778 -0.57364593
11 -1.45296706 -0.90498857 -0.30656620
12 -1.19777866 -0.65437620 -0.04911354
13 -0.94904908 -0.41041527  0.20158499
14 -0.70439748 -0.17072027  0.44785521
15 -0.46164436  0.06695252  0.69189653
16 -0.21876108  0.30455398  0.93582115
17  0.02627897  0.54423699  1.18160153
18  0.27568089  0.78812919  1.43144400
19  0.53182544  1.03861638  1.68776748
20  0.79752783  1.29855314  1.95331453
21  1.07623885  1.57136833  2.23157309
22  1.37240038  1.86152700  2.52697432
23  1.69202781  2.17503903  2.84553760
24  2.04372110  2.52046505  3.19585484
25  2.44060950  2.91102968  3.59100280
26  2.90446986  3.36841654  4.05277283
27  3.47584021  3.93323588  4.62175032
28  4.24563660  4.69631023  5.00000000
29  5.00000000  5.00000000  5.00000000
30  5.00000000  5.00000000  5.00000000


2. Conditional Probability Distribution of Total-Test abilily 
$`-5`
         path.1       path.2       path.3
0  6.367990e-01 0.000000e+00 0.000000e+00
1  2.909277e-01 0.000000e+00 0.000000e+00
2  6.284278e-02 0.000000e+00 0.000000e+00
3  8.545679e-03 0.000000e+00 0.000000e+00
4  8.217780e-04 0.000000e+00 0.000000e+00
5  5.951131e-05 0.000000e+00 0.000000e+00
6  3.374802e-06 0.000000e+00 0.000000e+00
7  1.538521e-07 5.571073e-12 0.000000e+00
8  5.743311e-09 7.249390e-13 0.000000e+00
9  1.778480e-10 4.216847e-14 1.732637e-16
10 4.607337e-12 1.469017e-15 6.714690e-18
11 1.002737e-13 3.449493e-17 1.193353e-19
12 1.832689e-15 5.809166e-19 1.299379e-21
13 2.797729e-17 7.273098e-21 9.779170e-24
14 3.528965e-19 6.913876e-23 5.444701e-26
15 3.617592e-21 5.045807e-25 2.344510e-28
16 2.944982e-23 2.836375e-27 8.057114e-31
17 1.844557e-25 1.223273e-29 2.260510e-33
18 8.499336e-28 4.000785e-32 5.259755e-36
19 2.689328e-30 9.711578e-35 1.024772e-38
20 5.169087e-33 1.687659e-37 1.678650e-41
21 4.500762e-36 1.974260e-40 2.310037e-44
22 0.000000e+00 1.383791e-43 2.657130e-47
23 0.000000e+00 4.356474e-47 2.531914e-50
24 0.000000e+00 0.000000e+00 1.972518e-53
25 0.000000e+00 0.000000e+00 1.233456e-56
26 0.000000e+00 0.000000e+00 6.030873e-60
27 0.000000e+00 0.000000e+00 2.217507e-63
28 0.000000e+00 0.000000e+00 5.758491e-67
29 0.000000e+00 0.000000e+00 9.403231e-71
30 0.000000e+00 0.000000e+00 7.252891e-75

$`-4.9`
         path.1       path.2       path.3
0  6.076638e-01 0.000000e+00 0.000000e+00
1  3.068143e-01 0.000000e+00 0.000000e+00
2  7.324455e-02 0.000000e+00 0.000000e+00
3  1.100768e-02 0.000000e+00 0.000000e+00
4  1.169858e-03 0.000000e+00 0.000000e+00
5  9.362843e-05 0.000000e+00 0.000000e+00
6  5.867944e-06 0.000000e+00 0.000000e+00
7  2.956451e-07 1.093069e-11 0.000000e+00
8  1.219717e-08 1.571953e-12 0.000000e+00
9  4.174217e-10 1.010545e-13 4.190321e-16
10 1.195104e-11 3.890665e-15 1.794714e-17
11 2.874563e-13 1.009675e-16 3.525069e-19
12 5.806349e-15 1.879186e-18 4.241934e-21
13 9.796018e-17 2.600189e-20 3.528251e-23
14 1.365591e-18 2.731722e-22 2.171006e-25
15 1.547114e-20 2.203307e-24 1.033162e-27
16 1.391922e-22 1.368792e-26 3.923967e-30
17 9.635042e-25 6.524190e-29 1.216695e-32
18 4.906548e-27 2.358185e-31 3.128746e-35
19 1.715790e-29 6.326332e-34 6.736919e-38
20 3.644717e-32 1.215000e-36 1.219618e-40
21 3.507240e-35 1.570816e-39 1.854864e-43
22 0.000000e+00 1.216805e-42 2.357954e-46
23 0.000000e+00 4.233651e-46 2.483138e-49
24 0.000000e+00 0.000000e+00 2.137974e-52
25 0.000000e+00 0.000000e+00 1.477524e-55
26 0.000000e+00 0.000000e+00 7.984001e-59
27 0.000000e+00 0.000000e+00 3.244404e-62
28 0.000000e+00 0.000000e+00 9.311250e-66
29 0.000000e+00 0.000000e+00 1.680374e-69
30 0.000000e+00 0.000000e+00 1.432416e-73

$`-4.8`
         path.1       path.2       path.3
0  5.770913e-01 0.000000e+00 0.000000e+00
1  3.220225e-01 0.000000e+00 0.000000e+00
2  8.496017e-02 0.000000e+00 0.000000e+00
3  1.411125e-02 0.000000e+00 0.000000e+00
