"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.901517061105654,"(-0.14, 0.76)",0.31987906667382,"(-0.14, 0.76)",0.623554200598993,"(-0.76, 0.76)",1
"2",0.90089624840392,"(-0.16, 0.72)",0.320533701543732,"(-0.1, 0.78)",0.632299132530093,"(-0.78, 0.34)",2
"3",0.900841906559679,"(-0.1, 0.78)",0.321642773737314,"(-0.12, 0.76)",0.632964793370974,"(-0.16, 0.16)",3
"4",0.900663216915838,"(-0.12, 0.8)",0.321838995068394,"(-0.14, 0.8)",0.632964793666446,"(-0.1, 0.6)",4
"5",0.900574160985963,"(-0.14, 0.74)",0.32184810726393,"(-0.14, 0.74)",0.632964797619126,"(-0.16, 0.24)",5
"6",0.900573786363084,"(-0.12, 0.76)",0.321922968188677,"(-0.14, 0.78)",0.632964799535484,"(-0.12, 0.1)",6
"7",0.900199618071345,"(-0.14, 0.8)",0.322232925909468,"(-0.16, 0.72)",0.632964800003875,"(-0.1, 0.38)",7
"8",0.900127009625605,"(-0.14, 0.78)",0.322399413475901,"(-0.12, 0.8)",0.632964804031259,"(-0.1, 0.34)",8
"9",0.899636225994411,"(-0.16, 0.78)",0.322935013247735,"(-0.14, 0.7)",0.632964804998956,"(-0.16, 0.26)",9
"10",0.899370550418864,"(-0.16, 0.76)",0.323113952096079,"(-0.18, 0.68)",0.632964807270418,"(-0.16, 0.52)",10
"11",0.89932442166319,"(-0.1, 0.8)",0.323656247243959,"(-0.1, 0.8)",0.632964807518875,"(-0.1, 0.22)",11
"12",0.899236292718024,"(-0.14, 0.7)",0.323880580632905,"(-0.16, 0.68)",0.632964807822844,"(-0.16, 0.2)",12
"13",0.89897560182892,"(-0.1, 0.58)",0.324058026181017,"(-0.16, 0.78)",0.632964808860401,"(-0.1, 0.36)",13
"14",0.898854442331694,"(-0.1, 0.62)",0.324224106942256,"(-0.22, 0.74)",0.632964813200756,"(-0.14, 0.1)",14
"15",0.898783971811635,"(-0.1, 0.36)",0.324253571148487,"(-0.1, 0.58)",0.632964818857276,"(-0.14, 0.2)",15
"16",0.898766724121072,"(-0.16, 0.68)",0.324612183025521,"(-0.16, 0.76)",0.632964821877278,"(-0.12, 0.56)",16
"17",0.898588159121021,"(-0.16, 0.56)",0.324669945748533,"(-0.16, 0.56)",0.632964821990257,"(-0.14, 0.42)",17
"18",0.898565078415037,"(-0.18, 0.68)",0.324821748407002,"(-0.1, 0.76)",0.632964822757923,"(-0.1, 0.24)",18
"19",0.89852355379113,"(-0.22, 0.74)",0.324847840515194,"(-0.24, 0.74)",0.632964822787331,"(-0.14, 0.5)",19
"20",0.898514064711773,"(-0.1, 0.76)",0.324900327864088,"(-0.1, 0.66)",0.632964824754157,"(-0.1, 0.2)",20
"21",0.898483520625645,"(-0.16, 0.58)",0.324973760566062,"(-0.2, 0.8)",0.632964826917839,"(-0.1, 0.1)",21
"22",0.898441660473022,"(-0.1, 0.74)",0.325168649698508,"(-0.28, 0.78)",0.632964827476748,"(-0.14, 0.54)",22
"23",0.898393412484935,"(-0.12, 0.74)",0.325189389813919,"(-0.1, 0.74)",0.63296482968106,"(-0.12, 0.3)",23
"24",0.898385079412518,"(-0.1, 0.66)",0.32548754155075,"(-0.12, 0.74)",0.632964836489746,"(-0.12, 0.5)",24
"25",0.898267281606066,"(-0.1, 0.6)",0.325573037010698,"(-0.16, 0.8)",0.632964837902189,"(-0.12, 0.24)",25
"26",0.898263713207409,"(-0.16, 0.64)",0.325665924441971,"(-0.1, 0.72)",0.632964840289542,"(-0.1, 0.46)",26
"27",0.898128638777256,"(-0.1, 0.64)",0.325675556686184,"(-0.12, 0.62)",0.632964842109731,"(-0.14, 0.12)",27
"28",0.898105296708344,"(-0.14, 0.52)",0.32573068121374,"(-0.1, 0.64)",0.632964842925088,"(-0.12, 0.4)",28
"29",0.89803901602757,"(-0.12, 0.7)",0.325846782961783,"(-0.18, 0.8)",0.632964844488274,"(-0.12, 0.44)",29
"30",0.898021820440171,"(-0.14, 0.56)",0.325923367341378,"(-0.26, 0.8)",0.632964853789362,"(-0.14, 0.44)",30
"31",0.898003645033132,"(-0.12, 0.5)",0.326034067293492,"(-0.28, 0.74)",0.632964856110481,"(-0.16, 0.18)",31
"32",0.897951290422608,"(-0.2, 0.8)",0.326058068399542,"(-0.16, 0.7)",0.632964859000675,"(-0.12, 0.76)",32
"33",0.897937253874531,"(-0.16, 0.8)",0.326238377653944,"(-0.24, 0.78)",0.632964861501256,"(-0.1, 0.16)",33
"34",0.897879826051067,"(-0.24, 0.74)",0.32629025133088,"(-0.2, 0.72)",0.632964864344134,"(-0.16, 0.46)",34
"35",0.897810967466448,"(-0.12, 0.62)",0.326317699933703,"(-0.22, 0.8)",0.632964869788687,"(-0.16, 0.1)",35
"36",0.897756750029381,"(-0.16, 0.66)",0.326349287177388,"(-0.18, 0.78)",0.632964873859273,"(-0.14, 0.4)",36
"37",0.897689844319043,"(-0.1, 0.68)",0.326400987407396,"(-0.2, 0.68)",0.632964874175714,"(-0.14, 0.14)",37
"38",0.897668265025987,"(-0.26, 0.8)",0.32642473341332,"(-0.16, 0.64)",0.63296487621149,"(-0.12, 0.18)",38
"39",0.897657679940282,"(-0.12, 0.6)",0.326436402837918,"(-0.12, 0.7)",0.632964876289879,"(-0.14, 0.56)",39
"40",0.897639119093799,"(-0.16, 0.7)",0.326461139755638,"(-0.14, 0.56)",0.63296487678832,"(-0.14, 0.24)",40
"41",0.89760715059743,"(-0.16, 0.5)",0.326498495099943,"(-0.36, 0.8)",0.63296488618795,"(-0.1, 0.14)",41
"42",0.89758007551615,"(-0.28, 0.74)",0.326539544852823,"(-0.2, 0.76)",0.632964886800157,"(-0.12, 0.12)",42
"43",0.89750790358528,"(-0.14, 0.66)",0.326615422454496,"(-0.14, 0.6)",0.632964888608586,"(-0.16, 0.58)",43
"44",0.897497691039284,"(-0.14, 0.46)",0.32667373801414,"(-0.22, 0.72)",0.632964894881111,"(-0.12, 0.64)",44
"45",0.897468933143438,"(-0.14, 0.62)",0.326709952149546,"(-0.32, 0.76)",0.632964903433766,"(-0.14, 0.28)",45
"46",0.897460743923726,"(-0.34, 0.78)",0.326713016597069,"(-0.26, 0.74)",0.632964908405174,"(-0.14, 0.16)",46
"47",0.897424132644656,"(-0.1, 0.54)",0.326806241789836,"(-0.16, 0.58)",0.632964909154628,"(-0.16, 0.14)",47
"48",0.897418437490216,"(-0.1, 0.72)",0.32685352070592,"(-0.14, 0.68)",0.632964914571741,"(-0.14, 0.52)",48
"49",0.897404663276067,"(-0.22, 0.54)",0.326868867390436,"(-0.18, 0.74)",0.632964925827384,"(-0.1, 0.42)",49
"50",0.89731126193379,"(-0.12, 0.78)",0.326898297775438,"(-0.1, 0.36)",0.632964931830733,"(-0.14, 0.46)",50
"51",0.897308142953485,"(-0.16, 0.38)",0.326962446114447,"(-0.12, 0.5)",0.632964933030647,"(-0.12, 0.22)",51
"52",0.897301810750843,"(-0.16, 0.6)",0.327037905767108,"(-0.36, 0.7)",0.632964936486208,"(-0.1, 0.4)",52
"53",0.897297849113452,"(-0.16, 0.62)",0.327045578346621,"(-0.2, 0.52)",0.632964936557933,"(-0.14, 0.38)",53
"54",0.897289029948597,"(-0.28, 0.78)",0.327064295460735,"(-0.1, 0.7)",0.632964953045799,"(-0.1, 0.56)",54
"55",0.89726482191316,"(-0.2, 0.6)",0.327071794100518,"(-0.14, 0.62)",0.632964955007446,"(-0.12, 0.28)",55
"56",0.89717784850113,"(-0.36, 0.7)",0.327085886807158,"(-0.34, 0.78)",0.632964957445974,"(-0.12, 0.8)",56
"57",0.897173958963259,"(-0.1, 0.3)",0.32709660157952,"(-0.14, 0.52)",0.632964958677317,"(-0.12, 0.72)",57
"58",0.897157422567481,"(-0.18, 0.8)",0.327099380043081,"(-0.1, 0.62)",0.632964976114291,"(-0.16, 0.42)",58
"59",0.897141502851797,"(-0.12, 0.72)",0.327159943952857,"(-0.32, 0.8)",0.632964989667453,"(-0.14, 0.34)",59
"60",0.897115027106223,"(-0.24, 0.78)",0.327165009272589,"(-0.34, 0.8)",0.632964990184165,"(-0.16, 0.32)",60
"61",0.897113967334675,"(-0.1, 0.28)",0.327191352554341,"(-0.1, 0.68)",0.632964990348427,"(-0.12, 0.46)",61
"62",0.897108027799042,"(-0.22, 0.72)",0.32723228566169,"(-0.12, 0.72)",0.632964995409866,"(-0.12, 0.34)",62
"63",0.89710650951655,"(-0.12, 0.68)",0.327276562379139,"(-0.16, 0.66)",0.632965007524903,"(-0.16, 0.12)",63
"64",0.897072744954117,"(-0.36, 0.8)",0.327343557321061,"(-0.12, 0.6)",0.632965010142081,"(-0.1, 0.48)",64
"65",0.897033570282642,"(-0.1, 0.56)",0.327420375230442,"(-0.14, 0.72)",0.632965010985016,"(-0.16, 0.22)",65
"66",0.896991398241974,"(-0.14, 0.6)",0.327456801861389,"(-0.12, 0.68)",0.632965012900841,"(-0.16, 0.64)",66
"67",0.896984001463846,"(-0.12, 0.56)",0.327469994720128,"(-0.2, 0.6)",0.632965017760552,"(-0.12, 0.26)",67
"68",0.896923018120472,"(-0.32, 0.76)",0.327500981931156,"(-0.42, 0.78)",0.632965018688438,"(-0.16, 0.6)",68
"69",0.896919112551615,"(-0.1, 0.4)",0.327582521938398,"(-0.18, 0.72)",0.632965025832998,"(-0.16, 0.76)",69
"70",0.896903607406828,"(-0.14, 0.42)",0.327616728533643,"(-0.36, 0.78)",0.632965030945578,"(-0.12, 0.6)",70
"71",0.896891929500581,"(-0.1, 0.22)",0.327746261674608,"(-0.26, 0.7)",0.632965031658275,"(-0.1, 0.18)",71
"72",0.896873055672498,"(-0.1, 0.42)",0.327837112485957,"(-0.18, 0.58)",0.632965032083805,"(-0.14, 0.68)",72
"73",0.896828526100404,"(-0.24, 0.7)",0.327875079285071,"(-0.14, 0.66)",0.632965033442958,"(-0.12, 0.14)",73
"74",0.896790312768493,"(-0.2, 0.72)",0.327899280791852,"(-0.12, 0.78)",0.632965034510673,"(-0.1, 0.74)",74
"75",0.896788517719695,"(-0.32, 0.8)",0.327931702658221,"(-0.26, 0.78)",0.632965046850792,"(-0.1, 0.54)",75
"76",0.896776417533416,"(-0.18, 0.58)",0.327945827491803,"(-0.24, 0.5)",0.632965050922705,"(-0.14, 0.7)",76
"77",0.896769639502836,"(-0.1, 0.7)",0.328041582014545,"(-0.22, 0.54)",0.632965077634791,"(-0.16, 0.34)",77
"78",0.896755522650737,"(-0.22, 0.8)",0.32806012553029,"(-0.24, 0.7)",0.632965115370575,"(-0.16, 0.5)",78
"79",0.896741828966377,"(-0.12, 0.32)",0.328203221684297,"(-0.18, 0.76)",0.632965115957615,"(-0.12, 0.54)",79
"80",0.896695046715228,"(-0.12, 0.34)",0.328209406482319,"(-0.18, 0.7)",0.632965140296532,"(-0.1, 0.7)",80
"81",0.896675556879091,"(-0.2, 0.76)",0.328261433853093,"(-0.16, 0.38)",0.632965140380095,"(-0.16, 0.62)",81
"82",0.896672291651058,"(-0.36, 0.78)",0.328318280325891,"(-0.34, 0.76)",0.632965143018271,"(-0.12, 0.2)",82
"83",0.896665932900963,"(-0.26, 0.74)",0.328385549311622,"(-0.16, 0.6)",0.632965175355722,"(-0.16, 0.54)",83
"84",0.896644636526739,"(-0.12, 0.58)",0.328394972726304,"(-0.14, 0.64)",0.632965184856897,"(-0.1, 0.62)",84
"85",0.896629856131824,"(-0.34, 0.8)",0.328536458550987,"(-0.2, 0.64)",0.632965203415575,"(-0.1, 0.66)",85
"86",0.896629667442559,"(-0.2, 0.52)",0.328582381685263,"(-0.12, 0.58)",0.632965219022312,"(-0.14, 0.22)",86
"87",0.896606501081504,"(-0.14, 0.5)",0.328589254583051,"(-0.3, 0.8)",0.632965242243472,"(-0.16, 0.7)",87
"88",0.896580276073735,"(-0.2, 0.68)",0.328621608810059,"(-0.24, 0.8)",0.632965250249854,"(-0.14, 0.78)",88
"89",0.896579922954243,"(-0.18, 0.7)",0.328635011955926,"(-0.2, 0.74)",0.632965254822385,"(-0.16, 0.28)",89
"90",0.896569514249249,"(-0.16, 0.74)",0.328683465072849,"(-0.38, 0.7)",0.63296531079427,"(-0.12, 0.16)",90
"91",0.896564026133492,"(-0.16, 0.12)",0.328732480930441,"(-0.1, 0.6)",0.632965314934773,"(-0.16, 0.68)",91
"92",0.896560783686505,"(-0.44, 0.78)",0.328740441748487,"(-0.16, 0.74)",0.632965322672768,"(-0.16, 0.36)",92
"93",0.896512545565987,"(-0.16, 0.52)",0.328740630565192,"(-0.28, 0.76)",0.632965323569123,"(-0.12, 0.68)",93
"94",0.896486408134511,"(-0.14, 0.4)",0.328760501775608,"(-0.2, 0.5)",0.632965328300827,"(-0.16, 0.48)",94
"95",0.896463108986083,"(-0.42, 0.78)",0.328774109998029,"(-0.12, 0.66)",0.632965348665161,"(-0.12, 0.38)",95
