"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.14, 0.76)","1M",29,7,7,9,6,5,6,18
"2","RDP (-0.14, 0.76)","2E",31,8,8,6,9,10,9,12
"3","RDP (-0.14, 0.76)","2M",31,8,8,6,9,10,9,12
"4","RDP (-0.14, 0.76)","2H",31,8,8,6,9,10,9,12
"5","RDP (-0.16, 0.72)","1M",33,8,11,7,7,9,7,17
"6","RDP (-0.16, 0.72)","2E",27,7,4,8,8,6,8,13
"7","RDP (-0.16, 0.72)","2M",27,7,4,8,8,6,8,13
"8","RDP (-0.16, 0.72)","2H",27,7,4,8,8,6,8,13
"9","RDP (-0.1, 0.78)","1M",30,6,6,8,10,8,8,14
"10","RDP (-0.1, 0.78)","2E",30,9,9,7,5,7,7,16
"11","RDP (-0.1, 0.78)","2M",30,9,9,7,5,7,7,16
"12","RDP (-0.1, 0.78)","2H",30,9,9,7,5,7,7,16
"13","RDP (-0.12, 0.8)","1M",30,7,6,9,8,9,7,14
"14","RDP (-0.12, 0.8)","2E",30,8,9,6,7,6,8,16
"15","RDP (-0.12, 0.8)","2M",30,8,9,6,7,6,8,16
"16","RDP (-0.12, 0.8)","2H",30,8,9,6,7,6,8,16
