"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.08)","1M",12,1,3,3,5,1,3,8
"2","RDP (-0.08)","2E",12,4,3,3,2,3,4,5
"3","RDP (-0.08)","2H",12,4,3,3,2,3,4,5
"4","RDP (-0.08)","3E",8,3,2,2,1,4,1,3
"5","RDP (-0.08)","3H",8,3,2,2,1,4,1,3
"6","RDP (0.16)","1M",9,3,2,1,3,2,1,6
"7","RDP (0.16)","2E",14,4,4,3,3,2,4,8
"8","RDP (0.16)","2H",14,4,4,3,3,2,4,8
"9","RDP (0.16)","3E",9,1,2,4,2,4,3,2
"10","RDP (0.16)","3H",9,1,2,4,2,4,3,2
"11","RDP (-0.24)","1M",13,4,3,3,3,5,2,6
"12","RDP (-0.24)","2E",10,2,2,2,4,1,3,6
"13","RDP (-0.24)","2H",10,2,2,2,4,1,3,6
"14","RDP (-0.24)","3E",9,2,3,3,1,2,3,4
"15","RDP (-0.24)","3H",9,2,3,3,1,2,3,4
"16","RDP (0.14)","1M",9,1,3,2,3,1,2,6
"17","RDP (0.14)","2E",14,3,3,4,4,5,3,6
"18","RDP (0.14)","2H",14,3,3,4,4,5,3,6
"19","RDP (0.14)","3E",9,4,2,2,1,2,3,4
"20","RDP (0.14)","3H",9,4,2,2,1,2,3,4
