"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.919844923524735,"-0.46, 0.74",0.283960663556344,"-0.14, 0.68",0.461939518993169,"-0.76, 0.78",1
"2",0.919147655338532,"-0.44, 0.72",0.284579038634422,"-0.18, 0.78",0.465957822570459,"-0.78, 0.3",2
"3",0.919135843089088,"-0.62, 0.78",0.285208826712861,"-0.18, 0.76",0.468053679526593,"-0.8, 0.66",3
"4",0.919011630944676,"-0.44, 0.68",0.285763684465777,"-0.14, 0.76",0.46808357883277,"-0.7, 0.64",4
"5",0.918771881646226,"-0.6, 0.74",0.285765037027229,"-0.18, 0.62",0.468975435282682,"-0.46, 0.54",5
"6",0.918524046669474,"-0.58, 0.64",0.286570769328825,"-0.24, 0.6",0.469223894048262,"-0.46, 0.26",6
"7",0.918477052034987,"-0.5, 0.74",0.2867883007906,"-0.12, 0.58",0.470372936985086,"-0.72, 0.5",7
"8",0.918369827917922,"-0.48, 0.78",0.287009093297725,"-0.1, 0.7",0.470736087409359,"-0.48, 0.76",8
"9",0.918209722029821,"-0.48, 0.68",0.28707589481655,"-0.12, 0.78",0.471502816416615,"-0.64, 0.38",9
"10",0.918067837779331,"-0.68, 0.66",0.287109314612131,"-0.16, 0.76",0.472081739609297,"-0.7, 0.58",10
"11",0.917846105397829,"-0.48, 0.7",0.287125824260096,"-0.38, 0.72",0.472245182463059,"-0.7, 0.62",11
"12",0.917719408786151,"-0.5, 0.64",0.287146532851032,"-0.34, 0.78",0.472272170404886,"-0.78, 0.5",12
"13",0.917553705089416,"-0.46, 0.22",0.287245670447936,"-0.12, 0.74",0.472674619829206,"-0.58, 0.8",13
"14",0.917502469650694,"-0.18, 0.78",0.287272289550665,"-0.44, 0.72",0.472907075128853,"-0.8, 0.18",14
"15",0.917392354475489,"-0.54, 0.66",0.287397811283085,"-0.12, 0.7",0.472917432710977,"-0.74, 0.44",15
"16",0.917351342197107,"-0.48, 0.64",0.287413480619845,"-0.48, 0.68",0.472919184055423,"-0.72, 0.62",16
"17",0.917344817655585,"-0.58, 0.76",0.287418068302963,"-0.28, 0.62",0.472919611165035,"-0.74, 0.6",17
