"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.46, 0.74)","1M",30,7,7,9,7,7,9,14
"2","RDP (-0.46, 0.74)","2E",15,3,5,3,4,3,3,9
"3","RDP (-0.46, 0.74)","2M",15,3,5,3,4,3,3,9
"4","RDP (-0.46, 0.74)","2H",15,3,5,3,4,3,3,9
"5","RDP (-0.46, 0.74)","3E",15,5,3,3,4,5,3,7
"6","RDP (-0.46, 0.74)","3M",15,5,3,3,4,5,3,7
"7","RDP (-0.46, 0.74)","3H",15,5,3,3,4,5,3,7
"8","RDP (-0.44, 0.72)","1M",27,7,5,8,7,7,6,14
"9","RDP (-0.44, 0.72)","2E",17,5,3,3,6,4,5,8
"10","RDP (-0.44, 0.72)","2M",17,5,3,3,6,4,5,8
"11","RDP (-0.44, 0.72)","2H",17,5,3,3,6,4,5,8
"12","RDP (-0.44, 0.72)","3E",16,3,7,4,2,4,4,8
"13","RDP (-0.44, 0.72)","3M",16,3,7,4,2,4,4,8
"14","RDP (-0.44, 0.72)","3H",16,3,7,4,2,4,4,8
"15","RDP (-0.62, 0.78)","1M",33,8,10,8,7,8,9,16
"16","RDP (-0.62, 0.78)","2E",15,3,3,5,4,4,4,7
"17","RDP (-0.62, 0.78)","2M",15,3,3,5,4,4,4,7
"18","RDP (-0.62, 0.78)","2H",15,3,3,5,4,4,4,7
"19","RDP (-0.62, 0.78)","3E",12,4,2,2,4,3,2,7
"20","RDP (-0.62, 0.78)","3M",12,4,2,2,4,3,2,7
"21","RDP (-0.62, 0.78)","3H",12,4,2,2,4,3,2,7
"22","RDP (-0.44, 0.68)","1M",27,7,8,4,8,6,7,14
"23","RDP (-0.44, 0.68)","2E",17,4,4,5,4,4,5,8
"24","RDP (-0.44, 0.68)","2M",17,4,4,5,4,4,5,8
"25","RDP (-0.44, 0.68)","2H",17,4,4,5,4,4,5,8
"26","RDP (-0.44, 0.68)","3E",16,4,3,6,3,5,3,8
"27","RDP (-0.44, 0.68)","3M",16,4,3,6,3,5,3,8
"28","RDP (-0.44, 0.68)","3H",16,4,3,6,3,5,3,8
