"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (0.36)","1M",21,7,3,7,4,4,5,12
"2","RDP (0.36)","2E",25,4,8,4,9,7,8,10
"3","RDP (0.36)","2H",25,4,8,4,9,7,8,10
"4","RDP (0.36)","3E",14,4,4,4,2,4,2,8
"5","RDP (0.36)","3H",14,4,4,4,2,4,2,8
"6","RDP (0.42)","1M",22,5,8,8,1,6,2,14
"7","RDP (0.42)","2E",24,7,7,4,6,6,7,11
"8","RDP (0.42)","2H",24,7,7,4,6,6,7,11
"9","RDP (0.42)","3E",14,3,0,3,8,3,6,5
"10","RDP (0.42)","3H",14,3,0,3,8,3,6,5
"11","RDP (0.46)","1M",15,5,5,3,2,7,2,6
"12","RDP (0.46)","2E",19,6,4,6,3,5,4,10
"13","RDP (0.46)","2H",19,6,4,6,3,5,4,10
"14","RDP (0.46)","3E",26,4,6,6,10,3,9,14
"15","RDP (0.46)","3H",26,4,6,6,10,3,9,14
"16","RDP (0.44)","1M",15,4,6,3,2,1,5,9
"17","RDP (0.44)","2E",15,3,4,3,5,5,2,8
"18","RDP (0.44)","2H",15,3,4,3,5,5,2,8
"19","RDP (0.44)","3E",30,8,5,9,8,9,8,13
"20","RDP (0.44)","3H",30,8,5,9,8,9,8,13
