"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (0.38)","1M",21,3,7,4,7,7,7,7
"2","RDP (0.38)","2E",17,6,5,4,2,5,3,9
"3","RDP (0.38)","2H",17,6,5,4,2,5,3,9
"4","RDP (0.38)","3E",22,6,3,7,6,3,5,14
"5","RDP (0.38)","3H",22,6,3,7,6,3,5,14
"6","RDP (0.4)","1M",13,3,5,5,0,6,2,5
"7","RDP (0.4)","2E",25,5,6,6,8,4,8,13
"8","RDP (0.4)","2H",25,5,6,6,8,4,8,13
"9","RDP (0.4)","3E",22,7,4,4,7,5,5,12
"10","RDP (0.4)","3H",22,7,4,4,7,5,5,12
"11","RDP (0.32)","1M",20,6,6,3,5,4,4,12
"12","RDP (0.32)","2E",19,6,4,4,5,4,5,10
"13","RDP (0.32)","2H",19,6,4,4,5,4,5,10
"14","RDP (0.32)","3E",21,3,5,8,5,7,6,8
"15","RDP (0.32)","3H",21,3,5,8,5,7,6,8
"16","RDP (0.3)","1M",16,4,7,2,3,3,5,8
"17","RDP (0.3)","2E",21,4,5,7,5,6,5,10
"18","RDP (0.3)","2H",21,4,5,7,5,6,5,10
"19","RDP (0.3)","3E",23,7,3,6,7,6,5,12
"20","RDP (0.3)","3H",23,7,3,6,7,6,5,12
