"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.3, 0.64)","1M",18,5,3,5,5,5,3,10
"2","RDP (-0.3, 0.64)","2E",14,3,5,3,3,3,5,6
"3","RDP (-0.3, 0.64)","2M",14,3,5,3,3,3,5,6
"4","RDP (-0.3, 0.64)","2H",14,3,5,3,3,3,5,6
"5","RDP (-0.16, 0.62)","1M",17,3,4,5,5,4,5,8
"6","RDP (-0.16, 0.62)","2E",15,5,4,3,3,4,3,8
"7","RDP (-0.16, 0.62)","2M",15,5,4,3,3,4,3,8
"8","RDP (-0.16, 0.62)","2H",15,5,4,3,3,4,3,8
"9","RDP (-0.12, 0.7)","1M",12,2,2,4,4,2,4,6
"10","RDP (-0.12, 0.7)","2E",20,6,6,4,4,6,4,10
"11","RDP (-0.12, 0.7)","2M",20,6,6,4,4,6,4,10
"12","RDP (-0.12, 0.7)","2H",20,6,6,4,4,6,4,10
"13","RDP (-0.1, 0.66)","1M",15,4,4,3,4,2,3,10
"14","RDP (-0.1, 0.66)","2E",17,4,4,5,4,6,5,6
"15","RDP (-0.1, 0.66)","2M",17,4,4,5,4,6,5,6
"16","RDP (-0.1, 0.66)","2H",17,4,4,5,4,6,5,6
