"","mar.rel","loc.mrel","ave.csee","loc.ave","max.csee","loc.max","order"
"1",0.863620335184609,998,0.391685515922679,998,0.669119833515998,293,1
"2",0.861986920085122,969,0.392986873207476,1212,0.670573862808192,167,2
"3",0.861668752799251,1115,0.393004323193497,1101,0.670577610984998,55,3
"4",0.860914193617056,1044,0.393126278980906,969,0.670579982431297,636,4
"5",0.860900927546671,1042,0.393171555534722,496,0.670580353556869,312,5
"6",0.86068129293756,1220,0.393524089120874,1044,0.670580862502162,130,6
"7",0.86062318735667,1101,0.393728650453162,993,0.670582269159624,96,7
"8",0.860504985786739,1213,0.393866556367323,1259,0.670585129167075,19,8
"9",0.860345036472575,1008,0.394020087427972,1146,0.670586620851025,54,9
"10",0.860212311056118,932,0.394037096591546,1220,0.670589779985733,234,10
"11",0.860122361831234,496,0.394143678377787,1296,0.670590211829204,814,11
"12",0.860122354350907,1177,0.394203937566041,932,0.670592379936974,128,12
"13",0.860068487097635,1212,0.394217362634985,1282,0.670592419518839,887,13
"14",0.860023697310543,1108,0.394362606911263,1111,0.670592589797294,306,14
"15",0.85995375452227,720,0.394446752832179,1115,0.670593531299237,20,15
"16",0.859909940100962,1254,0.394725505591485,1254,0.670593835590759,884,16
"17",0.859894841655677,106,0.394729007597979,684,0.670595352569289,741,17
"18",0.859799370980978,893,0.394755033975506,1008,0.670595480539941,564,18
"19",0.859640523930482,1290,0.394807083387175,1108,0.670595600828136,58,19
"20",0.859624587785969,684,0.394960100426103,1213,0.670598486107286,599,20
"21",0.859585644562032,36,0.395005813064289,814,0.670598541520354,886,21
"22",0.859457595200008,29,0.395200947631143,899,0.670598787101101,204,22
"23",0.859405032899858,539,0.395205261067137,965,0.670599360843812,163,23
"24",0.859383609744011,1136,0.395345734793573,1116,0.670599823547038,779,24
"25",0.859367828493264,320,0.395504020473604,1113,0.670603212391974,562,25
"26",0.859329344401255,572,0.395520809572427,1040,0.670604643869824,202,26
"27",0.859327505367516,825,0.395554657645673,1216,0.670606846179722,94,27
"28",0.859308355970314,997,0.395616086368017,852,0.670610229859586,60,28
"29",0.859298044631945,1111,0.395628048619956,930,0.670610872165556,708,29
"30",0.859260659420468,965,0.395750238018316,1176,0.670611516445264,1064,30
"31",0.859130584355986,468,0.395818757477503,1177,0.670612323696268,414,31
"32",0.859122799489917,852,0.395839480184522,1042,0.670612543538236,992,32
"33",0.85902754416236,69,0.395887558333586,1080,0.670612576306605,203,33
"34",0.858905391065658,719,0.396150350130714,1290,0.670613315150269,630,34
"35",0.858863282983853,785,0.39620394745844,609,0.670613717775525,597,35
"36",0.858758049623803,105,0.396262355290068,1182,0.67061405247665,526,36
"37",0.858756539024362,139,0.396372568277509,1150,0.670614182228517,524,37
"38",0.858721095388766,360,0.396510265496746,1255,0.670615289719008,1103,38
"39",0.858695789068026,1003,0.396537797978898,720,0.670616634765381,706,39
"40",0.858685301452956,599,0.396539397799105,1289,0.670617283472742,1067,40
"41",0.858642436252277,1259,0.396542992116438,1292,0.670617398355373,132,41
"42",0.858601065755705,1040,0.396626099607619,994,0.670617822906459,92,42
"43",0.858586362298136,1107,0.39665747762971,1295,0.670621520786073,383,43
"44",0.858555348890762,1080,0.396681966859112,1171,0.67062224110857,1066,44
"45",0.858548198694228,855,0.396838433735697,923,0.670622456838103,310,45
"46",0.858543209445474,992,0.396843608946031,1070,0.670622611336441,380,46
"47",0.858531513111005,432,0.396850121133417,1285,0.67062480418972,1032,47
"48",0.858511495995731,930,0.396882383927742,599,0.670626563199103,382,48
"49",0.85848236902373,461,0.396924969362923,1135,0.670627266712759,162,49
"50",0.858468735053173,1113,0.397101701992,1104,0.670627467293196,670,50
"51",0.858461532759341,926,0.39720204324574,1207,0.67062795465076,995,51
"52",0.858457742180778,144,0.397211005472783,1064,0.670628954174803,309,52
"53",0.858438501556029,322,0.397244819825648,825,0.670632326801732,489,53
"54",0.85843426502058,423,0.397263678631534,892,0.670633223234123,598,54
"55",0.858432850457079,282,0.397289117438782,884,0.670634615334052,165,55
"56",0.858362950432564,1038,0.397295022363379,955,0.670636286979677,59,56
"57",0.858353895439193,814,0.39733632379945,1251,0.67063837242435,198,57
"58",0.858322332787768,712,0.397342668629563,1107,0.670638779650561,308,58
"59",0.858293845922388,390,0.397348862105462,992,0.670638852215709,883,59
"60",0.858281268612968,534,0.397350555408068,1142,0.670639640692061,345,60
"61",0.858244930314248,422,0.397393957819753,1145,0.670640424281184,923,61
