"","mu","sigma","Min","Max"
"a",1.25,0.39,0.25,2.7
"b",0.46,0.96,-2.24,3.13
"c",0.21,0.07,0.05,0.5
"class1",2.5,1.12,1,4
"class2",2.1,0.83,1,3
