Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1,@96,96,Include in FY19 calib,FY18_Calibrated&Unused,,1694,1738,1487,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.001090647,-0.5745296,0.243761,1.09340792,0,-0.521419969,0,0.19899,0,4.NBT.2,PU
2,@104,104,Include in FY19 calib,FY18_Calibrated&Unused,,2206,1582,148,Include FY18 Calib,Operational FY16,,;,1.443862235,0.4274508,0.251088,1.614375553,0,0.358295428,0,0.20001,0,2.NBT.6,CU
3,@105,105,Include in FY19 calib,FY18_Calibrated&Unused,,1705,1756,1526,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.995504765,0.0241919,0.23317,0.995504765,0,0.024191839,0,0.23317,0,2.NBT.6,CU
4,@111,111,Include in FY19 calib,FY18_Calibrated&Unused,,995,1026,876,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.570655647,-2.0035764,0.2576009,0.670983975,0,-1.760336451,0,0.19982,0,2.NBT.7,PU
5,@112,112,Include in FY19 calib,FY18_Calibrated&Unused,,4050,3818,2415,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.588967706,-0.1874138,0.12743,1.588967706,0,-0.187413798,0,0.12743,0,2.NBT.7,PU
6,@113,113,Include in FY19 calib,FY18_Calibrated&Unused,,1867,1842,1362,Include FY18 Calib,Operational FY16,,;,0.853198294,-1.5346082,0.1845931,0.938267306,0,-1.317994576,0,0.16549,0,2.NBT.7,PU
7,@119,119,Include in FY19 calib,FY18_Calibrated&Unused,,1890,1933,1609,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.006837294,-0.8582147,0.15649,1.00683729,0,-0.85821475,0,0.15649,0,5.NBT.5,PU
8,@120,120,Include in FY19 calib,FY18_Calibrated&Unused,,1219,1255,1100,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.870476412,-0.6219543,0.2656147,0.960308245,0,-0.579006609,0,0.21776,0,5.NBT.5,PU
9,@122,122,Include in FY19 calib,FY18_Calibrated&Unused,,2688,2407,1340,Include FY18 Calib,Operational FY16,,;,1.041897353,-0.1009173,0.3169173,1.107992386,0,-0.126253108,0,0.25751,0,5.NBT.5,PU
10,@128,128,Include in FY19 calib,FY18_Calibrated&Unused,,5659,5266,3403,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.184757941,-0.2013203,0.13148,1.184757919,0,-0.201320321,0,0.13148,0,4.NBT.5,CU
11,@129,129,Include in FY19 calib,FY18_Calibrated&Unused,,1617,1664,1455,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.980387353,-0.545447,0.1791804,1.068000072,0,-0.492724067,0,0.13804,0,4.NBT.5,CU
12,@130,130,Include in FY19 calib,FY18 Operational ,,5017,3873,2480,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.105118176,-0.3653674,0.22515,1.105118195,0,-0.365367356,0,0.22515,0,4.NBT.5,CU
13,@131,131,Include in FY19 calib,FY18_Calibrated&Unused,,1293,1336,1162,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.855005647,-0.6947858,0.2488904,0.942997403,0,-0.6549993,0,0.19913,0,4.NBT.3,PU
14,@207,207,Include in FY19 calib,FY18_Calibrated&Unused,,2170,1581,210,Include FY18 Calib,Operational FY16,,;,0.941141529,0.5289039,0.4202546,1.614375553,0,0.305360531,0,0.20001,0,5.NBT.3b,CU
15,@209,209,Include in FY19 calib,FY18_Calibrated&Unused,,209,217,208,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.0126932,0.2,1.614375553,0,0.940603649,0,0.2,0,5.NBT.3b,CU
16,@210,210,Include in FY19 calib,FY18_Calibrated&Unused,,1725,1594,944,Include FY18 Calib,Operational FY16,,;,1.779058882,1.1114115,0.1554043,2.551920206,0,1.130326606,0,0.21098,0,5.NBT.3b,CU
17,@222,222,Include in FY19 calib,FY18_Calibrated&Unused,,216,220,202,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,-0.0291333,0.2,1.614375553,0,0.029732529,0,0.19998,0,4.OA.2,PU
18,@224,224,Include in FY19 calib,FY18_Calibrated&Unused,,294,301,287,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.6449572,0.2,1.614375553,0,1.492255417,0,0.19996,0,6.RP.3d,CU
19,@226,226,Include in FY19 calib,FY18_Calibrated&Unused,,1196,1237,1124,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.028802353,1.712782,0.2292234,1.328385345,0,1.634620699,0,0.24652,0,6.RP.3d,CU
20,@227,227,Include in FY19 calib,FY18_Calibrated&Unused,,1009,1046,942,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.595505,-0.7888854,0.1588135,1.893007833,0,-0.663432108,0,0.12666,0,2.NBT.7,PU
21,@231,231,Include in FY19 calib,FY18_Calibrated&Unused,,2208,1696,360,Include FY18 Calib,Operational FY16,,;,0.515529588,0.5956575,0.2121973,1.614375553,0,0.553425124,0,0.20015,0,6.RP.3d,CU
22,@238,238,Include in FY19 calib,FY18_Calibrated&Unused,,5521,5385,4102,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.519855706,1.0331332,0.12743,1.519855732,0,1.033133167,0,0.12743,0,5.MD.1,PU
23,@249,249,Include in FY19 calib,FY18_Calibrated&Unused,,2831,2455,1120,Include FY18 Calib,Operational FY16,,;,1.415343412,-0.0822437,0.2219661,1.353941008,0,-0.089702822,0,0.22858,0,5.NBT.7,PU
24,@264,264,Include in FY19 calib,FY18_Calibrated&Unused,,433,453,420,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.27372,0.2,1.291727093,0,1.242589504,0,0.20001,0,7.G.5,CU
25,@265,265,Include in FY19 calib,FY18_Calibrated&Unused,,6077,6213,5487,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.637352647,0.098157,0.18196,1.637352657,0,0.098157002,0,0.18196,0,6.SP.4,PU
26,@267,267,Include in FY19 calib,FY18_Calibrated&Unused,,4935,4416,2690,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.265136706,0.4228354,0.14666,1.265136721,0,0.42283533,0,0.14666,0,6.SP.5,PU
27,@271,271,Include in FY19 calib,FY18_Calibrated&Unused,,197,200,194,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.8585801,0.2,1.614375553,0,0.817460298,0,0.20001,0,6.RP.3a,PU
28,@278,278,Include in FY19 calib,FY18_Calibrated&Unused,,993,1017,901,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.895748235,0.3188372,0.2838035,0.958928633,0,0.320965792,0,0.26948,0,6.RP.3c,PU
29,@283,283,Include in FY19 calib,FY18 Operational ,,10540,9193,6778,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.197437235,0.4717821,0.40169,1.197437207,0,0.471782148,0,0.40169,0,5.G.2,CU
30,@286,286,Include in FY19 calib,FY18 Operational ,,5059,3790,2482,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.660658235,-0.1738604,0.14637,1.660658239,0,-0.173860419,0,0.14637,0,5.NBT.7,PU
31,@293,293,Include in FY19 calib,FY18_Calibrated&Unused,,777,815,734,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.204851176,0.7556808,0.1694662,1.322127821,0,0.744785933,0,0.1591,0,4.NF.4a,PU
32,@296,296,Include in FY19 calib,FY18_Calibrated&Unused,,7848,7651,5672,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.489471412,0.1243322,0.16177,1.489471428,0,0.124332194,0,0.16177,0,6.NS.5,CU
33,@297,297,Include in FY19 calib,FY18_Calibrated&Unused,,5566,5702,5040,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.208884706,0.1328624,0.30272,1.208884699,0,0.132862421,0,0.30272,0,6.EE.2a,CU
34,@302,302,Include in FY19 calib,FY18 Operational ,,3236,2702,2207,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.975488882,0.7238653,0.31551,1.9754889,0,0.723865263,0,0.31551,0,6.NS.7a,CU
35,@303,303,Include in FY19 calib,FY18_Calibrated&Unused,,2266,2343,2059,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.206388235,0.1186393,0.17494,1.206388259,0,0.118639288,0,0.17494,0,5.NBT.6,CU
36,@308,308,Include in FY19 calib,FY18_Calibrated&Unused,,3535,3647,3253,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.655501118,0.7842223,0.36876,1.655501119,0,0.784222249,0,0.36876,0,4.G.1,CU
37,@346,346,Include in FY19 calib,FY18_Calibrated&Unused,,7119,7290,6428,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.731703294,0.3281869,0.13375,0.731703311,0,0.328186955,0,0.13375,0,6.EE.9,ST
38,@347,347,Include in FY19 calib,FY18_Calibrated&Unused,,10726,10286,7422,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.421164235,0.5461918,0.11608,1.421164228,0,0.546191784,0,0.11608,0,3.MD.1,PU
39,@348,348,Include in FY19 calib,FY18_Calibrated&Unused,,1155,1124,825,Include FY18 Calib,Operational FY16,,;,1.374824294,-1.2385397,0.1909013,1.83862814,0,-0.951523617,0,0.20225,0,6.RP.3c,CU
40,@349,349,Include in FY19 calib,FY18_Calibrated&Unused,,6150,6307,5556,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.850776941,0.1741132,0.128,0.850776935,0,0.17411316,0,0.128,0,3.NF.1,ST
41,@352,352,Include in FY19 calib,FY18_Calibrated&Unused,,3187,3232,2752,Include FY18 Calib,Operational FY16,Yes,",SKIP;",0.923452882,-0.6125552,0.10387,0.923452905,0,-0.612555181,0,0.10387,0,5.NBT.7,CU
42,@354,354,Include in FY19 calib,FY18_Calibrated&Unused,,2168,2119,1687,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.484100824,1.8446737,0.33793,1.484100797,0,1.844673725,0,0.33793,0,7.SP.8a,PU
43,@358,358,Include in FY19 calib,FY18_Calibrated&Unused,,1915,1585,659,Include FY18 Calib,Operational FY16,,;,1.515223294,1.0831477,0.1481359,1.984456376,0,1.066760892,0,0.19996,0,3.MD.7b,PU
44,@368,368,Include in FY19 calib,FY18_Calibrated&Unused,,3915,3672,2455,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.252983,0.1183044,0.19095,1.252983,0,0.118304411,0,0.19095,0,3.OA.9,PU
45,@373,373,Include in FY19 calib,FY18_Calibrated&Unused,,2107,2138,1702,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.602299,0.7389287,0.24872,0.602299024,0,0.738928633,0,0.24872,0,3.NBT.1,CU
46,@374,374,Include in FY19 calib,FY18_Calibrated&Unused,,6786,6272,4274,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.422625941,0.3748871,0.3607,1.422625959,0,0.374887054,0,0.3607,0,7.SP.5,CU
47,@377,377,Include in FY19 calib,FY18_Calibrated&Unused,,324,337,314,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.457434,0.2,1.614375553,0,1.39702253,0,0.20003,0,5.NBT.7,PU
48,@380,380,Include in FY19 calib,FY18_Calibrated&Unused,,746,775,690,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.855635529,1.0940962,0.2790647,0.857313666,0,0.926295275,0,0.20001,0,5.NBT.7,PU
49,@386,386,Include in FY19 calib,FY18_Calibrated&Unused,,157,163,161,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.9740523,0.2,1.614375553,0,0.936359846,0,0.20002,0,6.NS.3,PU
50,@387,387,Include in FY19 calib,FY18_Calibrated&Unused,,1561,1616,1423,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.738155,0.1867012,0.2713631,0.825352663,0,0.168414165,0,0.23142,0,6.NS.3,PU
51,@391,391,Include in FY19 calib,FY18 Operational ,,1760,1388,1235,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.533498,1.1220272,0.2727865,1.923507104,0,1.129352419,0,0.29562,0,6.EE.3,CU
52,@392,392,Include in FY19 calib,FY18_Calibrated&Unused,,1688,1752,1582,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.511983706,0.723019,0.20381,0.511983734,0,0.723018938,0,0.20381,0,5.NF.3,CU
53,@394,394,Include in FY19 calib,FY18_Calibrated&Unused,,1225,1264,1127,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.610648353,0.5027732,0.2738777,0.672856305,0,0.470801872,0,0.25435,0,8.EE.2,CU
54,@396,396,Include in FY19 calib,FY18 Operational ,,787,286,283,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.3289316,0.2,1.614375553,0,1.12641768,0,0.19994,0,6.EE.1,CU
55,@397,397,Include in FY19 calib,FY18 Operational ,,5944,5090,4249,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.425171647,0.5379478,0.09565,1.425171671,0,0.537947725,0,0.09565,0,6.EE.1,PU
56,@401,401,Include in FY19 calib,FY18 Operational ,,2547,1890,1690,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.515388412,0.7093255,0.15512,1.515388418,0,0.709325519,0,0.15512,0,6.EE.1,PU
57,@411,411,Include in FY19 calib,FY18_Calibrated&Unused,,2481,1834,231,Include FY18 Calib,Operational FY16,,;,0.836305176,0.0531602,0.2044602,1.614375553,0,0.297286954,0,0.20001,0,6.NS.3,PU
58,@414,414,Include in FY19 calib,FY18_Calibrated&Unused,,822,846,720,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.029305706,1.3935973,0.2343333,1.748789144,0,1.42096318,0,0.30056,0,6.RP.3c,PU
59,@416,416,Include in FY19 calib,FY18_Calibrated&Unused,,1756,1784,1441,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.532123529,-0.1856723,0.2295135,0.613253798,0,-0.155740537,0,0.18855,0,6.NS.3,PU
60,@423,423,Include in FY19 calib,FY18_Calibrated&Unused,,203,207,212,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.8190402,0.2,1.614375553,0,1.530181743,0,0.19991,0,7.RP.2,ST
61,@424,424,Include in FY19 calib,FY18 Operational ,,1349,720,682,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.374458059,0.607052,0.2269314,1.538447641,0,0.598097696,0,0.20001,0,6.RP.3c,PU
62,@425,425,Include in FY19 calib,FY18_Calibrated&Unused,,1460,1497,1382,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.083914118,1.5791552,0.2180846,1.368492626,0,1.540782117,0,0.24556,0,7.RP.3,PU
63,@434,434,Include in FY19 calib,FY18_Calibrated&Unused,,299,306,295,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.4662227,0.2,1.614375553,0,1.328421485,0,0.20005,0,7.RP.3,PU
64,@435,435,Include in FY19 calib,FY18_Calibrated&Unused,,1409,1461,1341,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.240682941,1.2220747,0.1904646,1.383619083,0,1.184095651,0,0.1816,0,7.RP.3,PU
65,@439,439,Include in FY19 calib,FY18_Calibrated&Unused,,286,298,301,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.5673132,0.2,1.614375553,0,1.426461249,0,0.19998,0,7.NS.2a,PU
66,@440,440,Include in FY19 calib,FY18_Calibrated&Unused,,189,199,196,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.5036416,0.2,1.614375553,0,1.386142076,0,0.19999,0,7.NS.2a,PU
67,@441,441,Include in FY19 calib,FY18_Calibrated&Unused,,183,190,205,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.5601871,0.2,1.614375553,0,1.469130649,0,0.20004,0,7.NS.1d,PU
68,@446,446,Include in FY19 calib,FY18 Operational ,,3171,1879,1535,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.746686882,0.6043081,0.19592,1.746686879,0,0.604308139,0,0.19592,0,6.EE.5,PU
69,@449,449,Include in FY19 calib,FY18_Calibrated&Unused,,1824,1882,1686,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.748904118,0.8171863,0.35352,1.748904112,0,0.817186308,0,0.35352,0,6.EE.5,PU
70,@459,459,Include in FY19 calib,FY18_Calibrated&Unused,,1451,1492,1382,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.138049471,1.6035788,0.1886878,1.455030409,0,1.549921211,0,0.21141,0,7.RP.2,PU
71,@460,460,Include in FY19 calib,FY18_Calibrated&Unused,,2501,2548,2241,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.297344059,1.6162086,0.29756,1.297344083,0,1.616208561,0,0.29756,0,6.RP.3a,ST
72,@463,463,Include in FY19 calib,FY18_Calibrated&Unused,,302,318,317,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,2.1792225,0.2,1.614375553,0,1.946920761,0,0.19992,0,7.RP.2,PU
73,@466,466,Include in FY19 calib,FY18_Calibrated&Unused,,432,404,283,Include FY18 Calib,Operational FY16,,;,1.12,2.0187792,0.2,1.614375553,0,1.770324976,0,0.20008,0,7.RP.3,PU
74,@468,468,Include in FY19 calib,FY18 Operational ,,5230,4120,3412,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",2.432912294,0.0071192,0.30148,2.432912278,0,0.007119208,0,0.30148,0,4.OA.3,ST
75,@486,486,Include in FY19 calib,FY18_Calibrated&Unused,,10991,10690,8011,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.349752882,0.4927211,0.29937,1.349752902,0,0.492721084,0,0.29937,0,7.EE.4,PU
76,@488,488,Include in FY19 calib,FY18_Calibrated&Unused,,4891,5058,4428,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",2.145936647,1.2825007,0.36641,2.145936633,0,1.282500736,0,0.36641,0,7.EE.4,PU
77,@492,492,Include in FY19 calib,FY18_Calibrated&Unused,,12430,12020,8883,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.574448941,0.469645,0.19914,1.574448935,0,0.469645025,0,0.19914,0,7.EE.4,PU
78,@498,498,Include in FY19 calib,FY18_Calibrated&Unused,,1883,1931,1526,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.374618765,0.486602,0.13601,1.374618759,0,0.486601971,0,0.13601,0,5.NBT.3a,CU
79,@499,499,Include in FY19 calib,FY18_Calibrated&Unused,,1693,1653,1184,Include FY18 Calib,Operational FY16,,;,1.085440471,-1.6682435,0.2137004,1.238989796,0,-1.46003107,0,0.18752,0,5.NBT.3a,CU
80,@501,501,Include in FY19 calib,FY18_Calibrated&Unused,,582,603,570,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.563079471,-2.3214052,0.2614567,0.749359055,0,-1.860014068,0,0.2,0,5.NBT.3a,CU
81,@502,502,Include in FY19 calib,FY18_Calibrated&Unused,,2502,1846,222,Include FY18 Calib,Operational FY16,,;,1.179640235,0.3791675,0.2414004,1.614375553,0,0.178204746,0,0.2,0,4.NBT.2,CU
82,@518,518,Include in FY19 calib,FY18 Operational ,,1706,1602,1217,Include FY18 Calib,Operational FY16,,;,1.065719588,-1.7163098,0.2340898,1.264184132,0,-1.460725178,0,0.17509,0,2.NBT.7,PU
83,@519,519,Include in FY19 calib,FY18 Operational ,,2163,1819,1390,Include FY18 Calib,Operational FY16,,;,1.145903529,-1.6318628,0.2213899,1.431577011,0,-1.372214182,0,0.16888,0,2.NBT.7,PU
84,@521,521,Include in FY19 calib,FY18 Operational ,,1483,1387,1085,Include FY18 Calib,Operational FY16,,;,0.907260294,-1.6684019,0.2515034,1.033115607,0,-1.434787444,0,0.20254,0,3.NBT.2,PU
85,@528,528,Include in FY19 calib,FY18_Calibrated&Unused,,1899,1779,1100,Include FY18 Calib,Operational FY16,,;,0.854726882,-1.5180384,0.1700656,1.044119652,0,-1.280281354,0,0.13545,0,4.NBT.4,PU
86,@529,529,Include in FY19 calib,FY18_Calibrated&Unused,,1810,1751,1259,Include FY18 Calib,Operational FY16,,;,0.906067471,-1.1936533,0.209212,1.047388017,0,-1.033757194,0,0.16237,0,4.NBT.4,PU
87,@535,535,Include in FY19 calib,FY18_Calibrated&Unused,,3849,3779,2885,Include FY18 Calib,Operational FY16,Yes,",SKIP;",0.944656235,-0.8832452,0.17392,0.944656222,0,-0.883245272,0,0.17392,0,2.NBT.7,PU
88,@546,546,Include in FY19 calib,FY18_Calibrated&Unused,,2258,2141,1372,Include FY18 Calib,Operational FY16,,;,1.257883059,-0.8473657,0.2134918,1.261227822,0,-0.779914453,0,0.17327,0,5.OA.2,PU
89,@548,548,Include in FY19 calib,FY18_Calibrated&Unused,,1208,1252,1116,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.923885059,-0.6050602,0.2304922,1.008331869,0,-0.562603732,0,0.18722,0,6.EE.2a,PU
90,@553,553,Include in FY19 calib,FY18_Calibrated&Unused,,1752,1792,1633,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.918065824,1.1967419,0.26338,0.91806585,0,1.196741819,0,0.26338,0,6.NS.3,PU
91,@564,564,Include in FY19 calib,FY18_Calibrated&Unused,,826,855,773,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.695093765,-2.0215718,0.2479178,0.853404767,0,-1.706890106,0,0.19586,0,3.OA.7,PU
92,@566,566,Include in FY19 calib,FY18 Operational ,,2193,1933,1742,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.876578941,-1.4009771,0.19735,0.876578957,0,-1.400977059,0,0.19735,0,3.OA.7,CU
93,@574,574,Include in FY19 calib,FY18 Operational ,,2875,2547,2081,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.263412235,-1.3195837,0.16294,1.263412207,0,-1.319583719,0,0.16294,0,3.OA.4,CU
94,@575,575,Include in FY19 calib,FY18 Operational ,,1831,1474,1028,Include FY18 Calib,Operational FY16,,;,1.192500294,-1.3710514,0.2816571,1.437423937,0,-1.181017767,0,0.20912,0,3.OA.4,CU
95,@576,576,Include in FY19 calib,FY18_Calibrated&Unused,,1554,1609,1378,Include FY18 Calib,FY16 Calibrated/Unused,,;,0.692632294,-1.5491371,0.3020185,0.783849346,0,-1.418755976,0,0.22409,0,3.OA.4,CU
96,@577,577,Include in FY19 calib,FY18 Operational ,,1715,1328,965,Include FY18 Calib,Operational FY16,,;,0.923030353,-1.5385461,0.2299404,1.100420946,0,-1.280049985,0,0.20164,0,3.OA.4,CU
97,@582,582,Include in FY19 calib,FY18_Calibrated&Unused,,6782,6256,4102,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.244278294,0.3756177,0.2128,1.244278307,0,0.375617694,0,0.2128,0,4.OA.3,PU
98,@583,583,Include in FY19 calib,FY18 Operational ,,4202,3016,1809,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.467200529,-0.30663,0.10618,1.467200554,0,-0.306629957,0,0.10618,0,4.OA.3,PU
99,@585,585,Include in FY19 calib,FY18 Operational ,,6616,5166,3653,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.843637471,-0.2006566,0.10938,1.843637445,0,-0.200656656,0,0.10938,0,5.OA.2,PU
100,@586,586,Include in FY19 calib,FY18_Calibrated&Unused,,2573,2644,2322,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.704242471,-0.2689106,0.20812,0.70424247,0,-0.268910646,0,0.20812,0,6.EE.2a,PU
101,@587,587,Include in FY19 calib,FY18_Calibrated&Unused,,6965,6804,5250,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.938140824,0.9268067,0.18859,1.938140842,0,0.926806723,0,0.18859,0,6.EE.2a,PU
102,@607,607,Include in FY19 calib,FY18_Calibrated&Unused,,266,272,277,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.8127596,0.2,1.614375553,0,1.630711773,0,0.20003,0,5.MD.1,CU
103,@609,609,Include in FY19 calib,FY18_Calibrated&Unused,,5941,5687,4109,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.081287059,0.0092259,0.18799,1.081287046,0,0.009225888,0,0.18799,0,3.MD.1,CU
104,@611,611,Include in FY19 calib,FY18_Calibrated&Unused,,3742,3839,3386,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.567271647,-0.4584388,0.10987,1.56727167,0,-0.458438766,0,0.10987,0,3.MD.1,CU
105,@614,614,Include in FY19 calib,FY18_Calibrated&Unused,,6882,6315,3873,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.799686941,0.8591738,0.11772,1.79968696,0,0.859173777,0,0.11772,0,3.MD.1,ST
106,@616,616,Include in FY19 calib,FY18_Calibrated&Unused,,3119,3170,2715,Include FY18 Calib,Operational FY16,Yes,",SKIP;",0.837621353,-1.0147423,0.15852,0.837621352,0,-1.014742278,0,0.15852,0,5.MD.1,CU
107,@617,617,Include in FY19 calib,FY18_Calibrated&Unused,,716,730,666,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.058946176,1.0332943,0.1609868,1.32308041,0,1.063856596,0,0.19997,0,5.MD.1,CU
108,@618,618,Include in FY19 calib,FY18_Calibrated&Unused,,222,226,247,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.7200306,0.2,1.614375553,0,0.661194583,0,0.2,0,5.MD.1,CU
109,@620,620,Include in FY19 calib,FY18_Calibrated&Unused,,3662,3576,2756,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.117469,1.1949152,0.27068,1.117469004,0,1.194915218,0,0.27068,0,5.MD.1,PU
110,@623,623,Include in FY19 calib,FY18_Calibrated&Unused,,4608,4254,2677,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.711063353,-0.389308,0.19739,1.711063336,0,-0.389308007,0,0.19739,0,3.MD.1,PU
111,@628,628,Include in FY19 calib,FY18_Calibrated&Unused,,2265,1653,206,Include FY18 Calib,Operational FY16,,;,1.532342294,-0.0368477,0.1581686,1.614375553,0,0.189700155,0,0.19998,0,3.OA.7,PU
112,@629,629,Include in FY19 calib,FY18_Calibrated&Unused,,2201,2265,1968,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.794086412,-0.4699098,0.17303,1.794086393,0,-0.46990982,0,0.17303,0,3.OA.7,PU
113,@630,630,Include in FY19 calib,FY18_Calibrated&Unused,,4444,4091,2553,Include FY18 Calib,Operational FY16,Yes,",SKIP;",1.903831235,-0.2292308,0.1216,1.903831214,0,-0.229230784,0,0.1216,0,3.OA.7,PU
114,@631,631,Include in FY19 calib,FY18 Operational ,,2026,1717,1336,Include FY18 Calib,Operational FY16,,;,1.699066412,-0.9108965,0.1454023,2.140845209,0,-0.72412397,0,0.14405,0,3.OA.7,PU
115,@643,643,Include in FY19 calib,FY18_Calibrated&Unused,,1743,1595,937,Include FY18 Calib,Operational FY16,,;,1.104261294,-0.7530107,0.3625288,1.028418357,0,-0.86558204,0,0.24499,0,5.NBT.2,CU
116,@655,655,Include in FY19 calib,FY18_Calibrated&Unused,,2073,2138,1897,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",1.286717765,0.0108089,0.1483,1.286717789,0,0.010808942,0,0.1483,0,7.EE.3,PU
117,@656,656,Include in FY19 calib,FY18_Calibrated&Unused,,1811,1867,1592,Include FY18 Calib,FY16 Calibrated/Unused,Yes,",SKIP;",0.900295118,-1.4473423,0.16291,0.900295138,0,-1.447342281,0,0.16291,0,2.NBT.6,PU
