Item,SPSS,OWL ID,FY 19 Calibration Status,Bank status fy18,NOTES,N count in 2018,N count in 2017,N count in 2015,FY18 Calibration Status,Bank status FY16,Fix in 2017,SKIP?,a_FY18,b_FY18,c_FY18,a_FY16,se of a,b_FY16,se of b,c_FY16,se of c,FINAL Resolution,Cog Level_NEW
1112,@4575,4575,Include in FY19 calib,FY18 Operational ,,953,444,681,Include FY18 Calib,Operational FY16,,;,1.12,-0.7430674,0.2,1.146966415,0,-0.641013625,0,0.2,0,5.G.2,CU
1113,@4603,4603,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",98,98,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.6244895,0.2,0,0,0,0,0,0,2.NBT.3,CU
1114,@4606,4606,Include in FY19 calib,FY18_Calibrated&Unused,"N<150, try to calib?",109,109,,Include FY18 Calib,Piloting FY16,,;,1.12,1.7588778,0.2,0,0,0,0,0,0,5.MD.1,PU
1115,@4607,4607,Include in FY19 calib,FY18_Calibrated&Unused,,162,162,,Include FY18 Calib,Piloting FY16,,;,1.12,0.7641589,0.2,0,0,0,0,0,0,5.MD.1,PU
1116,@4608,4608,Include in FY19 calib,FY18_Calibrated&Unused,,182,182,,Include FY18 Calib,Piloting FY16,,;,1.12,1.3484354,0.2,0,0,0,0,0,0,4.NF.4b,CU
1117,@4609,4609,Include in FY19 calib,FY18 Operational ,,288,258,695,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,2.0407228,0.2,2.916416886,0,1.639552522,0,0.19994,0,F.IF.6,ST
1118,@4612,4612,Include in FY19 calib,FY18_Calibrated&Unused,,162,162,,Include FY18 Calib,Piloting FY16,,;,1.12,-0.2183514,0.2,0,0,0,0,0,0,3.OA.8,PU
1119,@4614,4614,Include in FY19 calib,FY18_Calibrated&Unused,,182,182,,Include FY18 Calib,Piloting FY16,,;,1.12,0.9585347,0.2,0,0,0,0,0,0,7.G.6,CU
1120,@4615,4615,Include in FY19 calib,FY18_Calibrated&Unused,,717,642,836,Include FY18 Calib,Operational FY16,,;,1.202619059,2.0430475,0.1333297,1.827049257,0,1.774605311,0,0.13968,0,8.F.4,PU
1121,@4616,4616,Include in FY19 calib,FY18 Operational ,,1341,443,836,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.4990471,0.2,2.732682179,0,0.694456987,0,0.15912,0,6.RP.3,CU
1122,@4617,4617,Include in FY19 calib,FY18_Calibrated&Unused,,432,443,837,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,1.7006283,0.2,1.285091818,0,1.488407378,0,0.14143,0,4.OA.4,CU
1123,@4618,4618,Include in FY19 calib,FY18 Operational ,,1170,443,837,Include FY18 Calib,FY16 Calibrated/Unused,,;,1.12,0.7491542,0.2,1.919499661,0,0.860470663,0,0.23632,0,5.G.1,CU
1124,@4619,4619,Include in FY19 calib,FY18 Operational ,,2489,1205,838,Include FY18 Calib,Operational FY16,,;,0.911840412,-0.3427718,0.227922,0.917688099,0,-0.319580558,0,0.21583,0,4.MD.6,PU
1125,@4621,4621,Include in FY19 calib,FY18_Calibrated&Unused,,1787,1389,805,Include FY18 Calib,Operational FY16,,;,1.066332118,-0.1653459,0.2374886,1.042937127,0,-0.375066608,0,0.18959,0,8.SP.4,CU
1126,@4622,4622,Include in FY19 calib,FY18 Operational ,,495,109,,Include FY18 Calib,Piloting FY16,,;,1.12,1.0578269,0.2,0,0,0,0,0,0,6.SP.4,CU
