"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.919225037091498,"-0.46, 0.54",0.282949939193625,"-0.24, 0.8",0.472898704955836,"-0.78, 0.4",1
"2",0.91901563175017,"-0.52, 0.8",0.284402914660004,"-0.16, 0.8",0.472900213868924,"-0.74, 0.1",2
"3",0.918842097076359,"-0.54, 0.76",0.284427830859523,"-0.24, 0.74",0.472900559496737,"-0.78, 0.2",3
"4",0.918727351346531,"-0.58, 0.78",0.285070802705019,"-0.14, 0.76",0.47290191948159,"-0.72, 0.68",4
"5",0.918582861194544,"-0.42, 0.6",0.285114357331104,"-0.24, 0.64",0.472902196263901,"-0.74, 0.44",5
"6",0.91851610083349,"-0.42, 0.62",0.285396937887152,"-0.2, 0.76",0.472903115497553,"-0.72, 0.42",6
"7",0.918398040571631,"-0.42, 0.7",0.285507604138404,"-0.16, 0.76",0.472905817737455,"-0.72, 0.38",7
"8",0.918342754270715,"-0.42, 0.76",0.285832232338486,"-0.52, 0.8",0.472905961451613,"-0.76, 0.12",8
"9",0.918299553171465,"-0.58, 0.76",0.285861335408858,"-0.14, 0.66",0.472906647093386,"-0.74, 0.3",9
"10",0.918264505068791,"-0.58, 0.8",0.285978124665055,"-0.26, 0.68",0.4729073220528,"-0.78, 0.64",10
"11",0.918206306530667,"-0.66, 0.74",0.286126639589047,"-0.32, 0.8",0.47290760792755,"-0.74, 0.54",11
"12",0.918163673255107,"-0.44, 0.7",0.286137250836306,"-0.12, 0.72",0.472909220151679,"-0.72, 0.56",12
"13",0.918050785103322,"-0.48, 0.52",0.286141180486144,"-0.14, 0.68",0.4729095146249,"-0.72, 0.78",13
"14",0.918012939684297,"-0.48, 0.8",0.286171819023558,"-0.3, 0.76",0.472909910891726,"-0.78, 0.5",14
"15",0.917889701983718,"-0.5, 0.74",0.286177592195516,"-0.1, 0.76",0.472910285081551,"-0.8, 0.34",15
"16",0.917719625428519,"-0.42, 0.8",0.286275361977753,"-0.26, 0.66",0.47291067181207,"-0.74, 0.4",16
"17",0.917694470274545,"-0.48, 0.64",0.286279661854689,"-0.22, 0.64",0.472911331088612,"-0.76, 0.28",17
"18",0.917662175970227,"-0.24, 0.8",0.286370179891137,"-0.26, 0.7",0.472911958276861,"-0.72, 0.48",18
"19",0.917615822212335,"-0.5, 0.8",0.286379965225339,"-0.22, 0.78",0.472912133763914,"-0.72, 0.18",19
"20",0.917571972703133,"-0.44, 0.5",0.286438066210662,"-0.12, 0.74",0.472912761144684,"-0.74, 0.26",20
"21",0.917560300803608,"-0.58, 0.64",0.286446247394544,"-0.24, 0.5",0.472912961418087,"-0.72, 0.72",21
"22",0.917539137456363,"-0.66, 0.54",0.286447691444275,"-0.12, 0.3",0.472914028313345,"-0.78, 0.28",22
"23",0.917432569279904,"-0.48, 0.72",0.286452186096418,"-0.16, 0.78",0.472914205639631,"-0.76, 0.38",23
"24",0.917381293427345,"-0.22, 0.76",0.286469357562672,"-0.2, 0.64",0.47291460666714,"-0.72, 0.4",24
"25",0.917379809980098,"-0.44, 0.24",0.286550583307868,"-0.54, 0.76",0.472914911500995,"-0.74, 0.34",25
"26",0.91735173355834,"-0.42, 0.78",0.286556693541001,"-0.22, 0.76",0.472915144538897,"-0.8, 0.5",26
"27",0.917330405047687,"-0.46, 0.64",0.286659568270188,"-0.34, 0.76",0.472915429680172,"-0.78, 0.76",27
"28",0.917267775812381,"-0.44, 0.28",0.286805822934607,"-0.2, 0.74",0.472915480294421,"-0.72, 0.66",28
"29",0.917256370824075,"-0.44, 0.8",0.28684827110557,"-0.58, 0.8",0.472915537538902,"-0.72, 0.44",29
