"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.46, 0.54)","1M",39,10,13,6,10,11,11,17
"2","RDP (-0.46, 0.54)","2E",21,5,2,9,5,4,4,13
"3","RDP (-0.46, 0.54)","2M",21,5,2,9,5,4,4,13
"4","RDP (-0.46, 0.54)","2H",21,5,2,9,5,4,4,13
"5","RDP (-0.52, 0.8)","1M",33,7,8,12,6,8,8,17
"6","RDP (-0.52, 0.8)","2E",27,8,7,3,9,7,7,13
"7","RDP (-0.52, 0.8)","2M",27,8,7,3,9,7,7,13
"8","RDP (-0.52, 0.8)","2H",27,8,7,3,9,7,7,13
"9","RDP (-0.54, 0.76)","1M",34,10,9,7,8,11,9,14
"10","RDP (-0.54, 0.76)","2E",26,5,6,8,7,4,6,16
"11","RDP (-0.54, 0.76)","2M",26,5,6,8,7,4,6,16
"12","RDP (-0.54, 0.76)","2H",26,5,6,8,7,4,6,16
"13","RDP (-0.58, 0.78)","1M",37,5,10,10,12,9,10,18
"14","RDP (-0.58, 0.78)","2E",23,10,5,5,3,6,5,12
"15","RDP (-0.58, 0.78)","2M",23,10,5,5,3,6,5,12
"16","RDP (-0.58, 0.78)","2H",23,10,5,5,3,6,5,12
