"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (0.12)","1M",8,2,1,2,3,1,3,4
"2","RDP (0.12)","2E",13,4,5,3,1,5,3,5
"3","RDP (0.12)","2H",13,4,5,3,1,5,3,5
"4","RDP (0.12)","3E",11,2,2,3,4,2,2,7
"5","RDP (0.12)","3H",11,2,2,3,4,2,2,7
"6","RDP (0.32)","1M",9,3,2,2,2,3,1,5
"7","RDP (0.32)","2E",16,5,4,3,4,3,4,9
"8","RDP (0.32)","2H",16,5,4,3,4,3,4,9
"9","RDP (0.32)","3E",7,0,2,3,2,2,3,2
"10","RDP (0.32)","3H",7,0,2,3,2,2,3,2
"11","RDP (-0.12)","1M",8,1,2,4,1,1,1,6
"12","RDP (-0.12)","2E",15,6,4,1,4,5,4,6
"13","RDP (-0.12)","2H",15,6,4,1,4,5,4,6
"14","RDP (-0.12)","3E",9,1,2,3,3,2,3,4
"15","RDP (-0.12)","3H",9,1,2,3,3,2,3,4
"16","RDP (-0.1)","1M",12,4,2,3,3,5,2,5
"17","RDP (-0.1)","2E",9,0,3,3,3,1,3,5
"18","RDP (-0.1)","2H",9,0,3,3,3,1,3,5
"19","RDP (-0.1)","3E",11,4,3,2,2,2,3,6
"20","RDP (-0.1)","3H",11,4,3,2,2,2,3,6
