"","CCR (Anal)","TER (Anal)","CCR (Sim1000)","TER (Sim1000)","CCR (Sim5000)","TER (Sim5000)"
"CUT.EOS (0)",0.937963312250959,0.0620366877490406,0.93669,0.06331,0.94134,0.05866
"CUT.EOS (0.524)",0.945943008913204,0.0540569910867956,0.94736,0.05264,0.94484,0.05516
"CUT.MLE (0)",0.929273730477555,0.0707262695224451,0.94044,0.05956,0.943684,0.056316
"CUT.MLE (0.524)",0.939103866749879,0.0608961332501211,0.9506,0.0494,0.9474,0.0526
