"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.28, 0.72)","1M",11,4,1,3,3,4,2,5
"2","RDP (-0.28, 0.72)","2E",13,4,4,2,3,4,3,6
"3","RDP (-0.28, 0.72)","2M",13,4,4,2,3,4,3,6
"4","RDP (-0.28, 0.72)","2H",13,4,4,2,3,4,3,6
"5","RDP (-0.28, 0.72)","3E",8,0,3,3,2,0,3,5
"6","RDP (-0.28, 0.72)","3M",8,0,3,3,2,0,3,5
"7","RDP (-0.28, 0.72)","3H",8,0,3,3,2,0,3,5
"8","RDP (-0.1, 0.38)","1M",12,3,1,3,5,3,3,6
"9","RDP (-0.1, 0.38)","2E",13,3,5,2,3,2,3,8
"10","RDP (-0.1, 0.38)","2M",13,3,5,2,3,2,3,8
"11","RDP (-0.1, 0.38)","2H",13,3,5,2,3,2,3,8
"12","RDP (-0.1, 0.38)","3E",7,2,2,3,0,3,2,2
"13","RDP (-0.1, 0.38)","3M",7,2,2,3,0,3,2,2
"14","RDP (-0.1, 0.38)","3H",7,2,2,3,0,3,2,2
"15","RDP (-0.34, 0.78)","1M",11,2,3,2,4,1,4,6
"16","RDP (-0.34, 0.78)","2E",14,5,4,2,3,5,3,6
"17","RDP (-0.34, 0.78)","2M",14,5,4,2,3,5,3,6
"18","RDP (-0.34, 0.78)","2H",14,5,4,2,3,5,3,6
"19","RDP (-0.34, 0.78)","3E",7,1,1,4,1,2,1,4
"20","RDP (-0.34, 0.78)","3M",7,1,1,4,1,2,1,4
"21","RDP (-0.34, 0.78)","3H",7,1,1,4,1,2,1,4
"22","RDP (-0.1, 0.12)","1M",10,3,2,4,1,2,2,6
"23","RDP (-0.1, 0.12)","2E",15,3,5,3,4,4,5,6
"24","RDP (-0.1, 0.12)","2M",15,3,5,3,4,4,5,6
"25","RDP (-0.1, 0.12)","2H",15,3,5,3,4,4,5,6
"26","RDP (-0.1, 0.12)","3E",7,2,1,1,3,2,1,4
"27","RDP (-0.1, 0.12)","3M",7,2,1,1,3,2,1,4
"28","RDP (-0.1, 0.12)","3H",7,2,1,1,3,2,1,4
