"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.863703860673784,"-0.28, 0.72",0.390613471094813,"-0.28, 0.72",0.661846510795296,"-0.58, 0.58",1
"2",0.861944501759931,"-0.1, 0.38",0.391675164207226,"-0.34, 0.78",0.665518842103425,"-0.44, 0.36",2
"3",0.86164897037154,"-0.34, 0.78",0.391680082605375,"-0.14, 0.8",0.666024183333049,"-0.34, 0.58",3
"4",0.86121728239889,"-0.1, 0.12",0.392623506712564,"-0.3, 0.8",0.66606388669459,"-0.44, 0.12",4
"5",0.861029165887291,"-0.28, 0.18",0.392841959484792,"-0.26, 0.76",0.666224623247603,"-0.34, 0.48",5
"6",0.861003149502348,"-0.14, 0.8",0.39360703083695,"-0.46, 0.7",0.66632541284973,"-0.72, 0.26",6
"7",0.860990461027749,"-0.26, 0.3",0.393947047133394,"-0.14, 0.76",0.666617421455258,"-0.34, 0.16",7
"8",0.860754181926866,"-0.26, 0.76",0.393974866589939,"-0.1, 0.38",0.666876330300574,"-0.68, 0.78",8
"9",0.860559323141583,"-0.46, 0.7",0.394045345669031,"-0.2, 0.8",0.66710777723603,"-0.4, 0.4",9
"10",0.860548394609807,"-0.3, 0.8",0.394166088967082,"-0.12, 0.74",0.667352231787902,"-0.42, 0.64",10
"11",0.86052121403303,"-0.28, 0.28",0.394789311770516,"-0.34, 0.36",0.667889846968968,"-0.44, 0.64",11
"12",0.860196245654505,"-0.14, 0.76",0.395122699835776,"-0.26, 0.3",0.668951934327578,"-0.5, 0.7",12
"13",0.860180096793935,"-0.12, 0.56",0.395266091347806,"-0.14, 0.74",0.669277287801355,"-0.64, 0.18",13
"14",0.860148882919558,"-0.2, 0.8",0.39546930231027,"-0.26, 0.74",0.669881302245898,"-0.34, 0.14",14
"15",0.860112431206202,"-0.14, 0.36",0.395504206182989,"-0.26, 0.68",0.669967985916156,"-0.46, 0.44",15
"16",0.859818318579145,"-0.26, 0.74",0.395688866618518,"-0.28, 0.28",0.67013497605151,"-0.64, 0.16",16
"17",0.859639990644005,"-0.3, 0.14",0.395707454201661,"-0.12, 0.56",0.670535672065956,"-0.72, 0.34",17
"18",0.859637196945942,"-0.2, 0.2",0.395914475142648,"-0.36, 0.68",0.670605856404238,"-0.4, 0.32",18
"19",0.859259320897664,"-0.36, 0.18",0.396027848468427,"-0.1, 0.12",0.670616677698016,"-0.38, 0.34",19
"20",0.859174795119697,"-0.24, 0.8",0.39612888752192,"-0.14, 0.36",0.67062011189199,"-0.38, 0.32",20
"21",0.859161908268137,"-0.36, 0.16",0.396128891736524,"-0.46, 0.72",0.670623969206611,"-0.44, 0.44",21
"22",0.859093337887384,"-0.14, 0.18",0.396181503970503,"-0.44, 0.66",0.670635399447193,"-0.46, 0.42",22
"23",0.859078518108833,"-0.28, 0.68",0.396231485289623,"-0.24, 0.8",0.670640397159349,"-0.44, 0.16",23
"24",0.859064589655622,"-0.34, 0.36",0.396454696260473,"-0.36, 0.18",0.670642178034202,"-0.4, 0.16",24
"25",0.859059501209343,"-0.12, 0.38",0.396532815452325,"-0.28, 0.68",0.670643288066491,"-0.42, 0.26",25
"26",0.859021963960191,"-0.18, 0.38",0.396729950556816,"-0.22, 0.72",0.670646428525408,"-0.34, 0.1",26
"27",0.858749365327431,"-0.34, 0.58",0.396819447994135,"-0.24, 0.52",0.670648743728756,"-0.34, 0.12",27
"28",0.858729007975118,"-0.26, 0.78",0.396843726038051,"-0.46, 0.8",0.670648820873727,"-0.46, 0.24",28
"29",0.858673981485781,"-0.3, 0.1",0.397027137779445,"-0.38, 0.6",0.670655647055613,"-0.34, 0.5",29
"30",0.858622808597038,"-0.46, 0.72",0.397349239461947,"-0.36, 0.56",0.670656734282607,"-0.4, 0.76",30
"31",0.858618750727954,"-0.24, 0.6",0.397352195105497,"-0.24, 0.74",0.670659766807913,"-0.46, 0.26",31
"32",0.858581790093525,"-0.2, 0.6",0.397356104688465,"-0.18, 0.54",0.670663440241225,"-0.36, 0.18",32
"33",0.858570882322793,"-0.14, 0.74",0.39743113400845,"-0.28, 0.18",0.670665737160888,"-0.36, 0.48",33
"34",0.858510761285251,"-0.52, 0.72",0.397467770430968,"-0.22, 0.7",0.670672120020512,"-0.36, 0.56",34
"35",0.858506107288913,"-0.22, 0.7",0.397470738097517,"-0.1, 0.8",0.670672270740221,"-0.34, 0.22",35
"36",0.858502775886467,"-0.36, 0.68",0.397523084222648,"-0.56, 0.76",0.670673144144435,"-0.4, 0.22",36
"37",0.858352516052875,"-0.14, 0.12",0.397525618302472,"-0.36, 0.16",0.670676159650026,"-0.42, 0.3",37
"38",0.858290957008891,"-0.1, 0.28",0.397572786297579,"-0.12, 0.7",0.670676355397823,"-0.44, 0.32",38
"39",0.85826722675253,"-0.26, 0.68",0.397601642837435,"-0.24, 0.6",0.670681450538381,"-0.36, 0.12",39
"40",0.858199291525791,"-0.22, 0.24",0.397654209425679,"-0.26, 0.78",0.67069176741784,"-0.4, 0.42",40
"41",0.858180337630681,"-0.26, 0.1",0.397820661747725,"-0.12, 0.72",0.670702805326395,"-0.36, 0.34",41
"42",0.858173345613519,"-0.22, 0.2",0.397914252170122,"-0.52, 0.72",0.670702960998228,"-0.38, 0.68",42
"43",0.85816621128518,"-0.3, 0.74",0.397947281453569,"-0.3, 0.74",0.670704661381366,"-0.44, 0.26",43
"44",0.85815195496246,"-0.3, 0.58",0.398007139719267,"-0.14, 0.54",0.670707016651176,"-0.4, 0.64",44
"45",0.858141356403672,"-0.1, 0.1",0.398198798059972,"-0.22, 0.56",0.670717706661309,"-0.42, 0.36",45
"46",0.858103286027592,"-0.16, 0.14",0.398399843850475,"-0.12, 0.38",0.670720849874995,"-0.44, 0.22",46
"47",0.858049897229088,"-0.36, 0.56",0.398423610992257,"-0.18, 0.5",0.67072250847015,"-0.38, 0.7",47
"48",0.858032763207849,"-0.1, 0.5",0.398493783708532,"-0.32, 0.8",0.670723856099405,"-0.4, 0.18",48
"49",0.858023139478435,"-0.14, 0.4",0.398495067626939,"-0.4, 0.42",0.670731477568894,"-0.42, 0.78",49
"50",0.858022178959653,"-0.22, 0.56",0.398506279466212,"-0.32, 0.74",0.670732932045974,"-0.36, 0.2",50
"51",0.858014854365768,"-0.22, 0.48",0.398531202118157,"-0.1, 0.5",0.670734580291129,"-0.46, 0.7",51
"52",0.858007176651675,"-0.18, 0.5",0.398550638092691,"-0.3, 0.58",0.670734853612393,"-0.42, 0.1",52
"53",0.85795451137108,"-0.28, 0.1",0.398663149844313,"-0.3, 0.14",0.670734853679232,"-0.38, 0.26",53
"54",0.857946526737643,"-0.22, 0.72",0.398713389871445,"-0.32, 0.66",0.670737347668836,"-0.38, 0.6",54
"55",0.857937118184059,"-0.44, 0.66",0.398777903871443,"-0.12, 0.76",0.67073805330919,"-0.42, 0.68",55
"56",0.857917581725212,"-0.12, 0.12",0.39878171611287,"-0.22, 0.74",0.670738363808563,"-0.32, 0.66",56
"57",0.857906560765509,"-0.14, 0.38",0.398864052104916,"-0.14, 0.18",0.670739230578612,"-0.44, 0.34",57
"58",0.857859059040413,"-0.24, 0.52",0.398912792930059,"-0.34, 0.2",0.670743539690267,"-0.34, 0.76",58
"59",0.857750225521923,"-0.38, 0.6",0.398922821628513,"-0.2, 0.2",0.670752605564545,"-0.34, 0.36",59
"60",0.85771350210514,"-0.3, 0.46",0.398926522090354,"-0.2, 0.6",0.670758587482497,"-0.4, 0.36",60
"61",0.857699588319006,"-0.34, 0.2",0.398944997829559,"-0.14, 0.68",0.670760668778915,"-0.38, 0.52",61
"62",0.857663696552616,"-0.24, 0.28",0.39903757060936,"-0.34, 0.58",0.670773145890236,"-0.44, 0.58",62
"63",0.857658136279814,"-0.1, 0.42",0.399117819684871,"-0.14, 0.4",0.670774472670605,"-0.4, 0.38",63
"64",0.857611630497726,"-0.12, 0.7",0.399143524655682,"-0.1, 0.64",0.670775118898907,"-0.46, 0.5",64
"65",0.857569776352283,"-0.28, 0.42",0.39928272098391,"-0.2, 0.7",0.670778586718748,"-0.38, 0.54",65
"66",0.857539295750645,"-0.1, 0.64",0.399370606889154,"-0.26, 0.72",0.670782424644826,"-0.46, 0.46",66
"67",0.857522227193419,"-0.14, 0.42",0.399496220328427,"-0.16, 0.74",0.670784227371636,"-0.46, 0.72",67
"68",0.857517580460975,"-0.2, 0.24",0.399582465677764,"-0.32, 0.76",0.670785401362078,"-0.34, 0.24",68
"69",0.857498703468895,"-0.32, 0.22",0.399598501569702,"-0.3, 0.7",0.670786575473221,"-0.34, 0.34",69
"70",0.857494535304136,"-0.28, 0.36",0.399663614629992,"-0.4, 0.36",0.670794260391839,"-0.36, 0.1",70
"71",0.857443679344551,"-0.4, 0.42",0.39973982595396,"-0.14, 0.38",0.670796485364932,"-0.34, 0.42",71
"72",0.857431627201723,"-0.16, 0.4",0.399798587269838,"-0.68, 0.6",0.670805907423641,"-0.38, 0.22",72
"73",0.857401570528172,"-0.32, 0.16",0.39980063391327,"-0.14, 0.5",0.670806635315769,"-0.36, 0.22",73
"74",0.85738369618733,"-0.16, 0.58",0.39982124617464,"-0.12, 0.68",0.670807095563359,"-0.34, 0.32",74
"75",0.857364315103521,"-0.12, 0.72",0.399916391351243,"-0.68, 0.18",0.670809202089665,"-0.44, 0.42",75
"76",0.857339557469116,"-0.2, 0.26",0.400024257241688,"-0.28, 0.36",0.670810706359763,"-0.36, 0.36",76
"77",0.857321324504281,"-0.24, 0.74",0.400159282042452,"-0.36, 0.48",0.670814212848135,"-0.36, 0.58",77
"78",0.857320711186904,"-0.18, 0.54",0.400191511004686,"-0.42, 0.72",0.670817386170298,"-0.44, 0.74",78
"79",0.857300842525194,"-0.1, 0.8",0.400191926975165,"-0.12, 0.8",0.670818434015241,"-0.14, 0.54",79
