"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.902449488146402,"-0.14, 0.68",0.318511042872736,"-0.14, 0.68",0.613399871808841,"-0.74, 0.64",1
"2",0.900378665487561,"-0.12, 0.66",0.320949349260017,"-0.12, 0.66",0.613442300137104,"-0.7, 0.2",2
"3",0.899649943765941,"-0.12, 0.78",0.322139720916155,"-0.12, 0.78",0.616584303400208,"-0.56, 0.5",3
"4",0.899568619967713,"-0.16, 0.68",0.322807460667765,"-0.16, 0.68",0.620046045184852,"-0.8, 0.42",4
"5",0.89933413291188,"-0.1, 0.18",0.324368075447782,"-0.34, 0.74",0.621864341300162,"-0.76, 0.32",5
"6",0.898589179586381,"-0.16, 0.72",0.324448378445894,"-0.16, 0.72",0.622105085334279,"-0.18, 0.48",6
"7",0.8983052778959,"-0.14, 0.66",0.324476599194609,"-0.18, 0.72",0.622184898330653,"-0.78, 0.72",7
"8",0.898285846105068,"-0.14, 0.76",0.32459031960066,"-0.28, 0.76",0.623592697339716,"-0.78, 0.36",8
"9",0.89817763844116,"-0.1, 0.74",0.324989042047731,"-0.28, 0.8",0.623619249019756,"-0.78, 0.58",9
"10",0.898129985947535,"-0.28, 0.76",0.32507195471306,"-0.1, 0.8",0.624217116379716,"-0.12, 0.22",10
"11",0.897995182728153,"-0.1, 0.58",0.32514623925015,"-0.1, 0.74",0.625594006575857,"-0.74, 0.6",11
"12",0.897958753239605,"-0.34, 0.74",0.325194238948646,"-0.14, 0.76",0.626946540018602,"-0.56, 0.28",12
"13",0.897936248132633,"-0.1, 0.72",0.32525588502541,"-0.1, 0.72",0.626957948555996,"-0.62, 0.26",13
"14",0.897919214740404,"-0.16, 0.74",0.325347206276307,"-0.22, 0.8",0.627117597699166,"-0.6, 0.66",14
"15",0.897745092062928,"-0.1, 0.8",0.325447421262196,"-0.14, 0.66",0.627327635046323,"-0.58, 0.74",15
"16",0.897629534659117,"-0.1, 0.7",0.325570358938911,"-0.1, 0.18",0.627361825716523,"-0.72, 0.52",16
"17",0.897545506481344,"-0.18, 0.72",0.325595755695789,"-0.26, 0.74",0.62845767951347,"-0.8, 0.28",17
"18",0.897476425674185,"-0.16, 0.7",0.325803639825587,"-0.2, 0.78",0.630847463326607,"-0.8, 0.68",18
"19",0.897389622729796,"-0.12, 0.34",0.326005700943499,"-0.1, 0.7",0.631159584026704,"-0.58, 0.44",19
"20",0.897342737100835,"-0.12, 0.56",0.32605431930622,"-0.1, 0.78",0.631629096058757,"-0.2, 0.18",20
"21",0.897326430202033,"-0.28, 0.8",0.326225961460427,"-0.1, 0.58",0.63164336605537,"-0.52, 0.22",21
"22",0.897308884168215,"-0.16, 0.8",0.326402095342877,"-0.34, 0.68",0.631645430099645,"-0.5, 0.36",22
"23",0.897174125840069,"-0.14, 0.18",0.326703759593693,"-0.16, 0.74",0.631667743037018,"-0.34, 0.18",23
