"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.14, 0.68)","1M",27,4,9,8,6,7,5,15
"2","RDP (-0.14, 0.68)","2E",16,5,4,3,4,3,6,7
"3","RDP (-0.14, 0.68)","2M",16,5,4,3,4,3,6,7
"4","RDP (-0.14, 0.68)","2H",16,5,4,3,4,3,6,7
"5","RDP (-0.14, 0.68)","3E",17,6,2,4,5,5,4,8
"6","RDP (-0.14, 0.68)","3M",17,6,2,4,5,5,4,8
"7","RDP (-0.14, 0.68)","3H",17,6,2,4,5,5,4,8
"8","RDP (-0.12, 0.66)","1M",21,4,6,5,6,3,7,11
"9","RDP (-0.12, 0.66)","2E",21,9,4,5,3,7,3,11
"10","RDP (-0.12, 0.66)","2M",21,9,4,5,3,7,3,11
"11","RDP (-0.12, 0.66)","2H",21,9,4,5,3,7,3,11
"12","RDP (-0.12, 0.66)","3E",18,2,5,5,6,5,5,8
"13","RDP (-0.12, 0.66)","3M",18,2,5,5,6,5,5,8
"14","RDP (-0.12, 0.66)","3H",18,2,5,5,6,5,5,8
"15","RDP (-0.12, 0.78)","1M",20,4,6,3,7,4,6,10
"16","RDP (-0.12, 0.78)","2E",23,6,4,6,7,7,7,9
"17","RDP (-0.12, 0.78)","2M",23,6,4,6,7,7,7,9
"18","RDP (-0.12, 0.78)","2H",23,6,4,6,7,7,7,9
"19","RDP (-0.12, 0.78)","3E",17,5,5,6,1,4,2,11
"20","RDP (-0.12, 0.78)","3M",17,5,5,6,1,4,2,11
"21","RDP (-0.12, 0.78)","3H",17,5,5,6,1,4,2,11
"22","RDP (-0.16, 0.68)","1M",21,3,7,4,7,3,3,15
"23","RDP (-0.16, 0.68)","2E",15,5,1,6,3,5,6,4
"24","RDP (-0.16, 0.68)","2M",15,5,1,6,3,5,6,4
"25","RDP (-0.16, 0.68)","2H",15,5,1,6,3,5,6,4
"26","RDP (-0.16, 0.68)","3E",24,7,7,5,5,7,6,11
"27","RDP (-0.16, 0.68)","3M",24,7,7,5,5,7,6,11
"28","RDP (-0.16, 0.68)","3H",24,7,7,5,5,7,6,11
