"","mar.rel","rdp.mrel","ave.csee","rdp.ave","max.csee","rdp.max","order"
"1",0.874957211549364,"-0.14, 0.72",0.365153247368716,"-0.46, 0.6",0.592849791929826,"-0.76, 0.66",1
"2",0.874903419339058,"-0.4, 0.78",0.367474121180664,"-0.14, 0.72",0.59529729789743,"-0.74, 0.26",2
"3",0.874719049183709,"-0.56, 0.7",0.368520342207003,"-0.58, 0.74",0.598960429029207,"-0.76, 0.44",3
"4",0.874373435047765,"-0.58, 0.74",0.368811666880995,"-0.5, 0.78",0.600596331566886,"-0.78, 0.44",4
"5",0.87424030291718,"-0.16, 0.56",0.369123074206894,"-0.4, 0.78",0.601337928798559,"-0.8, 0.1",5
"6",0.873620602495834,"-0.76, 0.54",0.369430887817181,"-0.56, 0.7",0.601433591940868,"-0.78, 0.7",6
"7",0.873510468296575,"-0.46, 0.6",0.369440065147369,"-0.42, 0.5",0.602156233753069,"-0.7, 0.7",7
"8",0.87346105132029,"-0.1, 0.5",0.369576384747832,"-0.6, 0.66",0.602851967835882,"-0.78, 0.78",8
"9",0.873409775806855,"-0.1, 0.56",0.369892870388574,"-0.16, 0.56",0.603530634892891,"-0.8, 0.66",9
"10",0.87333726126633,"-0.1, 0.54",0.369959509872446,"-0.52, 0.56",0.603843200982705,"-0.74, 0.18",10
"11",0.873269152594564,"-0.42, 0.8",0.370239144739966,"-0.34, 0.74",0.604622437358985,"-0.78, 0.52",11
"12",0.873126725087248,"-0.34, 0.74",0.370264427451827,"-0.76, 0.54",0.605506852833898,"-0.78, 0.3",12
"13",0.873038468904542,"-0.42, 0.5",0.370350586505201,"-0.64, 0.68",0.60613976481675,"-0.7, 0.78",13
"14",0.872809284122772,"-0.16, 0.48",0.370539427245793,"-0.1, 0.54",0.60642760742692,"-0.72, 0.42",14
"15",0.872705720215497,"-0.7, 0.68",0.370599570608836,"-0.5, 0.8",0.606580726350096,"-0.78, 0.76",15
"16",0.872589532460623,"-0.14, 0.4",0.37074760678544,"-0.7, 0.62",0.607103878740187,"-0.74, 0.66",16
"17",0.87255190107932,"-0.18, 0.42",0.370800861491216,"-0.1, 0.5",0.60830985202855,"-0.68, 0.7",17
"18",0.872313370394542,"-0.12, 0.6",0.370917461934931,"-0.42, 0.56",0.609281717849261,"-0.72, 0.22",18
"19",0.872279988952416,"-0.44, 0.3",0.371008311680558,"-0.7, 0.42",0.60929079693298,"-0.8, 0.38",19
"20",0.872226824567713,"-0.5, 0.78",0.37103222975393,"-0.12, 0.6",0.610401736754632,"-0.68, 0.4",20
"21",0.872172675277229,"-0.76, 0.64",0.371038256689499,"-0.16, 0.48",0.612090944797673,"-0.72, 0.1",21
"22",0.871993917304115,"-0.42, 0.56",0.371229202809712,"-0.44, 0.76",0.612185871168278,"-0.78, 0.4",22
"23",0.871834315881421,"-0.14, 0.3",0.371237433546705,"-0.14, 0.34",0.612287213704975,"-0.8, 0.4",23
"24",0.871799264802554,"-0.42, 0.66",0.371297298344357,"-0.24, 0.8",0.612322160361512,"-0.74, 0.3",24
"25",0.871627359269162,"-0.12, 0.68",0.371315854409352,"-0.42, 0.66",0.612327938793614,"-0.72, 0.76",25
"26",0.871424711194291,"-0.14, 0.34",0.37139726988466,"-0.1, 0.56",0.612336683675525,"-0.72, 0.5",26
"27",0.871359139988331,"-0.14, 0.46",0.371449899291232,"-0.7, 0.68",0.612347960144372,"-0.8, 0.36",27
"28",0.871190253673958,"-0.44, 0.8",0.371560202682484,"-0.7, 0.66",0.61235493554476,"-0.76, 0.38",28
"29",0.871180248321592,"-0.7, 0.62",0.371722670822381,"-0.8, 0.74",0.612372067187576,"-0.76, 0.2",29
"30",0.871139918849789,"-0.44, 0.76",0.371823433389482,"-0.54, 0.76",0.612374293341781,"-0.76, 0.1",30
"31",0.871095799909636,"-0.38, 0.66",0.371843485303263,"-0.16, 0.68",0.612441765737498,"-0.74, 0.74",31
"32",0.87108889214219,"-0.54, 0.76",0.371857050942995,"-0.76, 0.64",0.612456170568301,"-0.76, 0.28",32
"33",0.871076031851572,"-0.4, 0.72",0.371933387327237,"-0.22, 0.76",0.612465038043774,"-0.58, 0.26",33
"34",0.871047685764825,"-0.78, 0.7",0.371949651595381,"-0.4, 0.72",0.612469508180565,"-0.72, 0.34",34
"35",0.870987289970492,"-0.7, 0.66",0.372027880737546,"-0.44, 0.8",0.61248109625903,"-0.74, 0.12",35
"36",0.870931368269476,"-0.5, 0.8",0.372226859894612,"-0.36, 0.72",0.612526443190716,"-0.8, 0.48",36
"37",0.870925168941524,"-0.46, 0.56",0.372244060928201,"-0.54, 0.64",0.612537476386056,"-0.76, 0.64",37
"38",0.870919216000862,"-0.24, 0.58",0.372277541381671,"-0.4, 0.62",0.612591871564903,"-0.76, 0.4",38
"39",0.870800614932385,"-0.36, 0.46",0.372298334763192,"-0.3, 0.56",0.612646984698965,"-0.72, 0.44",39
"40",0.870790290186605,"-0.1, 0.7",0.37238177053865,"-0.4, 0.46",0.612690877697593,"-0.68, 0.3",40
"41",0.870775837573013,"-0.16, 0.68",0.372408320169636,"-0.42, 0.8",0.612717165493351,"-0.8, 0.44",41
"42",0.870770097168699,"-0.22, 0.72",0.37250123342336,"-0.52, 0.72",0.612729131685438,"-0.76, 0.26",42
"43",0.870753456507046,"-0.4, 0.74",0.372681487318459,"-0.24, 0.72",0.612731008453948,"-0.72, 0.72",43
"44",0.870752750229721,"-0.64, 0.68",0.372706266209045,"-0.24, 0.58",0.612734197812432,"-0.72, 0.62",44
"45",0.870614292872034,"-0.22, 0.76",0.3732308339581,"-0.46, 0.8",0.61274956435808,"-0.72, 0.46",45
"46",0.870613572610703,"-0.4, 0.46",0.373234922335966,"-0.16, 0.76",0.61277272209588,"-0.76, 0.6",46
"47",0.870604571763194,"-0.44, 0.58",0.373274467453102,"-0.78, 0.7",0.612783298342252,"-0.78, 0.54",47
"48",0.870555449384617,"-0.26, 0.72",0.373281340525321,"-0.52, 0.78",0.612792159625817,"-0.72, 0.7",48
"49",0.870494414999292,"-0.36, 0.72",0.373288543360615,"-0.6, 0.74",0.612815812728929,"-0.62, 0.8",49
"50",0.870474048350422,"-0.72, 0.76",0.373325046313281,"-0.46, 0.58",0.612818587814528,"-0.72, 0.48",50
"51",0.870465294485077,"-0.36, 0.78",0.37333599081973,"-0.48, 0.26",0.612828459418541,"-0.8, 0.42",51
"52",0.870462780402828,"-0.28, 0.62",0.373355462840051,"-0.34, 0.48",0.612832155006588,"-0.8, 0.22",52
"53",0.870451543796608,"-0.18, 0.64",0.373359128004274,"-0.1, 0.2",0.612846302554645,"-0.8, 0.28",53
"54",0.870397287831725,"-0.1, 0.2",0.373365060702892,"-0.22, 0.7",0.612875458497677,"-0.8, 0.74",54
"55",0.870378363726475,"-0.8, 0.74",0.373403131585216,"-0.18, 0.64",0.612888230538831,"-0.74, 0.42",55
"56",0.870328761162322,"-0.12, 0.66",0.373463657155419,"-0.1, 0.7",0.612890695260151,"-0.8, 0.46",56
"57",0.870313189823565,"-0.7, 0.42",0.373498125645322,"-0.28, 0.74",0.612890966007732,"-0.76, 0.42",57
"58",0.870302277159636,"-0.2, 0.24",0.373544753793829,"-0.46, 0.56",0.612905832642043,"-0.78, 0.68",58
"59",0.87024996989746,"-0.52, 0.78",0.373554390830919,"-0.28, 0.62",0.612913245448938,"-0.72, 0.26",59
"60",0.87022433207812,"-0.6, 0.66",0.373638333823385,"-0.68, 0.56",0.612919673787779,"-0.74, 0.5",60
"61",0.87020319808935,"-0.3, 0.24",0.373677719127212,"-0.34, 0.78",0.612923819594362,"-0.72, 0.6",61
"62",0.870120381411637,"-0.54, 0.64",0.373742767312991,"-0.22, 0.72",0.612946725437144,"-0.76, 0.24",62
"63",0.870056675885681,"-0.16, 0.76",0.373750280766256,"-0.28, 0.52",0.612969123770513,"-0.7, 0.36",63
"64",0.870019056857684,"-0.16, 0.38",0.373805063689545,"-0.18, 0.42",0.612980506152919,"-0.72, 0.66",64
"65",0.870011672313426,"-0.24, 0.72",0.373891300303132,"-0.44, 0.58",0.61299911048763,"-0.8, 0.26",65
"66",0.869975520180611,"-0.3, 0.56",0.374024854696384,"-0.62, 0.68",0.613006806087163,"-0.76, 0.46",66
"67",0.869968293440421,"-0.34, 0.48",0.374029586227508,"-0.8, 0.76",0.6130378874794,"-0.72, 0.18",67
"68",0.869967673659302,"-0.6, 0.74",0.374087140027327,"-0.36, 0.78",0.613107525737822,"-0.8, 0.24",68
"69",0.869947229387409,"-0.38, 0.58",0.374094619469461,"-0.3, 0.72",0.613108422454821,"-0.8, 0.56",69
"70",0.869768089854177,"-0.24, 0.52",0.374115488663814,"-0.12, 0.68",0.613116522162565,"-0.8, 0.7",70
"71",0.869766065112493,"-0.24, 0.16",0.374245931328334,"-0.26, 0.72",0.613155819914778,"-0.8, 0.76",71
"72",0.869760127515497,"-0.48, 0.26",0.374270020770438,"-0.5, 0.52",0.613198656631206,"-0.74, 0.28",72
"73",0.869702171289031,"-0.12, 0.4",0.374275304553628,"-0.36, 0.22",0.613225443117288,"-0.74, 0.34",73
"74",0.869645258085738,"-0.46, 0.8",0.374297282719623,"-0.14, 0.3",0.613249209349205,"-0.78, 0.38",74
"75",0.86964161594758,"-0.42, 0.48",0.374338356629594,"-0.22, 0.62",0.613270555388629,"-0.76, 0.52",75
"76",0.869624638973435,"-0.34, 0.78",0.374462604133539,"-0.4, 0.74",0.61327530395077,"-0.72, 0.14",76
"77",0.869586240409992,"-0.4, 0.6",0.374518366599597,"-0.72, 0.44",0.613296835365541,"-0.74, 0.1",77
"78",0.869580324271435,"-0.4, 0.3",0.374521841036091,"-0.54, 0.48",0.613316557932114,"-0.76, 0.48",78
