"","RDP","Module","N","Cont1.1","Cont1.2","Cont1.3","Cont1.4","Cont2.1","Cont2.2","Cont2.3"
"1","RDP (-0.14, 0.72)","1M",7,2,3,1,1,2,0,5
"2","RDP (-0.14, 0.72)","2E",15,5,3,4,3,3,5,7
"3","RDP (-0.14, 0.72)","2M",15,5,3,4,3,3,5,7
"4","RDP (-0.14, 0.72)","2H",15,5,3,4,3,3,5,7
"5","RDP (-0.14, 0.72)","3E",10,1,2,3,4,3,3,4
"6","RDP (-0.14, 0.72)","3M",10,1,2,3,4,3,3,4
"7","RDP (-0.14, 0.72)","3H",10,1,2,3,4,3,3,4
"8","RDP (-0.4, 0.78)","1M",12,2,6,4,0,4,2,6
"9","RDP (-0.4, 0.78)","2E",11,3,0,3,5,3,4,4
"10","RDP (-0.4, 0.78)","2M",11,3,0,3,5,3,4,4
"11","RDP (-0.4, 0.78)","2H",11,3,0,3,5,3,4,4
"12","RDP (-0.4, 0.78)","3E",9,3,2,1,3,1,2,6
"13","RDP (-0.4, 0.78)","3M",9,3,2,1,3,1,2,6
"14","RDP (-0.4, 0.78)","3H",9,3,2,1,3,1,2,6
"15","RDP (-0.56, 0.7)","1M",13,3,3,5,2,5,3,5
"16","RDP (-0.56, 0.7)","2E",11,3,2,3,3,2,3,6
"17","RDP (-0.56, 0.7)","2M",11,3,2,3,3,2,3,6
"18","RDP (-0.56, 0.7)","2H",11,3,2,3,3,2,3,6
"19","RDP (-0.56, 0.7)","3E",8,2,3,0,3,1,2,5
"20","RDP (-0.56, 0.7)","3M",8,2,3,0,3,1,2,5
"21","RDP (-0.56, 0.7)","3H",8,2,3,0,3,1,2,5
"22","RDP (-0.58, 0.74)","1M",14,3,4,4,3,3,3,8
"23","RDP (-0.58, 0.74)","2E",11,2,3,3,3,2,2,7
"24","RDP (-0.58, 0.74)","2M",11,2,3,3,3,2,2,7
"25","RDP (-0.58, 0.74)","2H",11,2,3,3,3,2,2,7
"26","RDP (-0.58, 0.74)","3E",7,3,1,1,2,3,3,1
"27","RDP (-0.58, 0.74)","3M",7,3,1,1,2,3,3,1
"28","RDP (-0.58, 0.74)","3H",7,3,1,1,2,3,3,1
