"","CCR (Anal)","TER (Anal)","CCR (Sim1000)","TER (Sim1000)","CCR (Sim5000)","TER (Sim5000)"
"CUT.EOS (0)",0.913718332767466,0.0862816672325341,0.90954,0.09046,0.914438,0.085562
"CUT.EOS (0.524)",0.926451084653865,0.0735489153461352,0.93021,0.06979,0.927638,0.072362
"CUT.MLE (0)",0.906651634615536,0.0933483653844642,0.91621,0.08379,0.92107,0.07893
"CUT.MLE (0.524)",0.918286115276817,0.0817138847231833,0.93195,0.06805,0.929076,0.070924
